"","Location","Food","Status"
"49","Restaurant","Rice/ Unspecified/ Chicken/ Unspecified/ Pork/ Unspecified",1
"50","Restaurant","Cake/ Tiramisu/ Eggs/ Other",1
"51","Private Home/Residence","Chicken Salad",1
"52","Restaurant","Chicken Fried Rice",0
"53","Restaurant","",1
"54","Restaurant","Dips/ Unspecified",1
"55","","",1
"56","","Chicken/ Unspecified/ Cake/ Cheese",1
"57","","Macaroni And Cheese/ Chicken/ Unspecified",1
"58","","Multiple Foods",1
"59","Restaurant","Eggs/ Unspecified/ Pork/ Bacon/ Potato/ Unspecified",1
"60","","",1
"61","Restaurant","",1
"62","Restaurant","Ground Beef/ Cheeseburger",1
"63","Restaurant","Rice/ Unspecified/ Lettuce/ Unspecified",1
"64","","Sandwich/ Roast Beef",1
"65","Restaurant","Soup Unspecified/ Stew/Chili/ Unspecified/ Steak/ Unspecified",1
"66","Restaurant","Pizza/ Unspecified",1
"67","Restaurant","Eggs/ Unspecified",1
"68","","",1
"69","Restaurant","Blue Cheese Dressing",1
"70","Private Home/Residence","Eggnog/ Homemade",1
"71","Restaurant","",1
"72","","Sausage/ Dried",1
"73","Catering Service","Unspecified Fruit",1
"74","Catering Service","",0
"75","Restaurant","",1
"76","Restaurant","",1
"77","Restaurant","",1
"78","Restaurant","",1
"79","Restaurant","Pizza/ Pepperoni",1
"80","","",1
"81","","Homemade Cheese/ Unspecified",1
"82","","Cake/ Unspecified/ Ice Cream/ Unspecified",1
"83","Restaurant/ Catering Service","Pasta/ Unspecified/ Meatballs",1
"84","Restaurant","Chicken/ Unspecified",1
"85","Restaurant","",1
"86","","Turkey Salad",0
"87","Restaurant","",1
"88","Restaurant","",1
"89","Restaurant","",1
"90","Catering Service","Beef/ Unspecified",1
"91","Restaurant","Enchilada/ Chicken",1
"92","Restaurant","Onion Dip",0
"93","Restaurant","Refried Beans/ Unspecified/ Peppers/ Chili",1
"94","Restaurant","Cream Cheese",0
"95","Restaurant","French Toast/ Unspecified/ Shell Eggs/ Scrambled Hard",1
"96","School/College/University","Deli Meat/ Unspecified",1
"97","Restaurant","Stir-Fry/ Unspecified/ Lettuce-Based Salads Unspecified",0
"98","Restaurant","Pork/ Bbq/ Beans/ Baked",0
"99","","Hot Dog/ Unspecified",1
"100","Restaurant","Beef/ Other",0
"101","Restaurant","Chicken/ Buffalo Wings",1
"102","Restaurant","Chicken/ Other",1
"103","Grocery Store","Oil/ Unspecified",1
"104","Catering Service","Stir-Fry/ Unspecified/ Caesar Salad",0
"105","","Burrito/ Unspecified",0
"106","","Hot Dog/ Unspecified",1
"107","Restaurant","",0
"108","Restaurant/ Grocery Store","Pudding/ Chocolate/ Salad/ Unspecified/ Cake/ Carrot",1
"109","Restaurant","",1
"110","Restaurant","Salmon/ Unspecified",1
"111","","Ethnic Style/ Unspecified",0
"112","Restaurant","Ethnic Style/ Unspecified",1
"113","Catering Service","Rice/ Unspecified",0
"114","Restaurant","Tuna Dishes/ Unspecified",1
"115","Restaurant","Rice/ Unspecified",0
"116","Restaurant","Cream Sauce/ Unspecified",0
"117","Restaurant","Ground Beef/ Hamburger",1
"118","Restaurant","Wine",1
"119","Restaurant","Ground Beef/ Hamburger",1
"120","Restaurant","",1
"121","","Macaroni Salad",1
"122","Restaurant","Crepe/ Unspecified",1
"123","Restaurant","",1
"124","Restaurant","",1
"125","Restaurant","Sandwich/ Chicken",1
"126","Restaurant","Eggs/ Unspecified/ Biscuits And Gravy",1
"127","Restaurant","",1
"128","Restaurant","",1
"129","Restaurant","Sandwich/ Reuben/ Ground Beef/ Hamburger",1
"130","Restaurant","Chicken/ Unspecified/ Coleslaw",1
"131","Restaurant","Taco/ Unspecified",1
"132","Restaurant","Ice",1
"133","Restaurant","Pita",1
"134","Catering Service","Chicken/ Unspecified",1
"135","Restaurant","Pizza/ Unspecified",1
"136","Restaurant","Unspecified Fish/ French Fries",1
"137","Restaurant/ Private Home/Residence","",1
"138","School/College/University","Ground Beef/ Unspecified",1
"139","Restaurant","",1
"140","Restaurant","Steak/ Prime Rib/ Potato/ Baked",1
"141","Catering Service","",1
"142","Restaurant","",1
"143","Restaurant","",1
"144","Catering Service","Egg Salad/Egg Salad Sandwich/ Fish/ White",1
"145","Catering Service","",1
"146","Catering Service","",1
"147","Catering Service","",1
"148","Restaurant","Deli Meat/ Multiple",1
"149","Catering Service","",1
"150","Restaurant","Roast Beef/ Unspecified",1
"151","Restaurant","Taco/ Beef",1
"152","Restaurant","",1
"153","Restaurant","",1
"154","Catering Service","Nuts/ Unspecified",1
"155","Private Home/Residence","Shrimp/ Unspecified",1
"156","Restaurant","",1
"157","Restaurant","",1
"158","Restaurant","",1
"159","Restaurant","",1
"160","Restaurant","Chicken/ Nuggets/Fingers",1
"161","Restaurant","",1
"162","Private Home/Residence","Oysters/ Fried",1
"163","Nursing Home/Assisted Living Facility","",0
"164","Restaurant","Caesar Salad",1
"165","Restaurant","Pasta-Based Salads Unspecified",1
"166","Restaurant","Seafood Soup/Stew/ Unspecified/ Butter/ Soda/ Unspecified",1
"167","Restaurant","Soda/ Unspecified/ Butter/ Seafood/ Unspecified",1
"168","Restaurant","Soup/ Other Seafood Chowder/ Butter/ Soda/ Other",1
"169","Restaurant","",1
"170","Restaurant","",1
"171","","",1
"172","Camp","",1
"173","Restaurant","Soup/ Chicken",0
"174","Restaurant","",1
"175","Restaurant","",1
"176","Restaurant","",1
"177","Restaurant","",1
"178","Restaurant","",1
"179","Restaurant","",1
"180","Grocery Store","Chicken/ Smoked",1
"181","Restaurant","",1
"182","","Sausage/ Unspecified",1
"183","Restaurant","Chile Relleno/ Unspecified/ Rice/ Unspecified/ Beans/ Unspecified",1
"184","Private Home/Residence","",1
"185","Private Home/Residence","Ice Cream/ Unspecified/ Eggs/ Other",1
"186","Private Home/Residence","Chicken/ Unspecified/ Rice/ Unspecified/ Beans/ Unspecified",1
"187","Restaurant","Fish/ Ahi",1
"188","Restaurant","",0
"189","Hospital","Leaf Lettuce/ Unspecified",0
"190","Restaurant","Salami/ Unspecified",1
"191","Restaurant","Taco/ Beef",1
"192","Restaurant","Nachos/ Unspecified",0
"193","Restaurant","Pasta/ Unspecified/ Chicken/ Unspecified",1
"194","Restaurant","Multiple Foods",1
"195","Restaurant","Pizza/ Meat",1
"196","Restaurant","Chicken/ Bbq",0
"197","Restaurant","Beans/ Baked",1
"198","Restaurant","Rice/ Unspecified/ Beans/ Unspecified",1
"199","Restaurant","Steak/ Other",1
"200","Restaurant","Sandwich/ Unspecified/ Salad/ Unspecified",0
"201","Restaurant","Ground Beef/ Cheeseburger",1
"202","Restaurant","Pasta/ Unspecified/ Chicken/ Unspecified",1
"203","Restaurant","Pork/ Bbq",0
"204","Restaurant","Fish/ Sole",1
"205","Restaurant","Pork/ Bbq",1
"206","Restaurant","",1
"207","Restaurant","Oysters/ Raw",1
"208","","Sauces/ Unspecified",0
"209","Restaurant","",1
"210","Restaurant","Chicken/ Unspecified",0
"211","Restaurant","Ice",0
"212","Restaurant","Cream/ Unspecified",1
"213","Restaurant","Enchilada/ Chicken",0
"214","Restaurant","Ice",0
"215","School/College/University","Hot Dog/ Unspecified",1
"216","Restaurant","Sandwich/ Chicken",0
"217","Restaurant","",1
"218","Restaurant","Coleslaw",1
"219","Restaurant","Steak/ Other",0
"220","Restaurant","Rice/ Unspecified/ Chicken/ Unspecified/ Beans/ Unspecified",1
"221","Private Home/Residence","Cake/ Chocolate",1
"222","Private Home/Residence","Bread/ Cornbread/ Chicken/ Unspecified/ Ham/ Unspecified",0
"223","School/College/University","",1
"224","Restaurant","",1
"225","Restaurant","Cake/ Unspecified/ Water/ Potato/ Unspecified",1
"226","Private Home/Residence","Unspecified Fish",1
"227","Restaurant","Tart/ Fruit",1
"228","Restaurant","Fish/ Swordfish",1
"229","Restaurant","",1
"230","Restaurant","Hollandaise Sauce",1
"231","Restaurant","Mixed Fruit/ Roast Beef/ Unspecified",1
"232","Restaurant","",1
"233","Restaurant","",1
"234","Restaurant","Shrimp Salad",1
"235","Office/Indoor Workplace","",1
"236","Restaurant/ Catering Service","Milkshake/ Nachos/ Unspecified",0
"237","Restaurant","",1
"238","Restaurant","Other Cheese/ Unspecified/ French Fries",1
"239","","",1
"240","Restaurant","",1
"241","Restaurant","Chicken/ Unspecified",1
"242","Restaurant","",1
"243","Restaurant","Chili Sauce/ Unspecified/ Hot Dog/ Unspecified",1
"244","Restaurant","French Toast/ Unspecified/ Beef/ Jerky",1
"245","Restaurant","Pizza/ Unspecified",1
"246","","",1
"247","Restaurant","Sushi/ Unspecified",1
"248","Restaurant","Rice/ Unspecified/ Chicken/ Unspecified/ Salad/ Unspecified",1
"249","","Shrimp/ Unspecified/ Caesar Salad",1
"250","Restaurant","Sandwich/ Submarine",1
"251","Restaurant","Pasta Salad",1
"252","Restaurant","Potato Salad/ Vegetable Dip/ Unspecified",1
"253","Restaurant","",1
"254","Catering Service","",1
"255","Restaurant","Milk/ 1% Milk Unpasteurized/ Sauces/ Unspecified",1
"256","Restaurant","Multiple Foods",1
"257","Restaurant","Chicken/ Unspecified",1
"258","","Multiple Foods",1
"259","Restaurant","Salad/ Unspecified",1
"260","Restaurant","",1
"261","","",1
"262","Prison/Jail","Sandwich/ Submarine",1
"263","Restaurant","Chicken/ Fried",1
"264","Private Home/Residence","",1
"265","","",1
"266","","",1
"267","","",1
"268","","",1
"269","Restaurant","",1
"270","Restaurant","",1
"271","Restaurant","",1
"272","Restaurant","Onion Dip",1
"273","Restaurant","Hollandaise Sauce",1
"274","Restaurant","",0
"275","Restaurant","Chicken/ Fried",1
"276","","",1
"277","","",1
"278","Restaurant","Lettuce/ Unspecified",1
"279","Catering Service","Turkey And Stuffing",1
"280","","",1
"281","","",0
"282","School/College/University","Sandwich/ Unspecified",1
"283","Private Home/Residence","",0
"284","Restaurant","Pie/ Unspecified/ Eggs/ Other",1
"285","","",0
"286","Restaurant","Rice/ Unspecified/ Chicken/ Unspecified",1
"287","Restaurant","",1
"288","Restaurant","Tuna/ Unspecified",1
"289","Restaurant","",1
"290","Restaurant","",1
"291","Restaurant","",1
"292","","",1
"293","Restaurant","",1
"294","Restaurant","",1
"295","Restaurant","",1
"296","","",1
"297","","",1
"298","Restaurant","",1
"299","Restaurant","",1
"300","Catering Service","",1
"301","","Cake/ Cheese/ Pasta/ Unspecified",1
"302","Private Home/Residence","",1
"303","Restaurant","Pizza/ Meat",1
"304","Restaurant","Pate/ Unspecified",1
"305","Restaurant","Rice/ Unspecified/ Beans/ Unspecified",0
"306","Catering Service","Salad/ Unspecified",0
"307","Catering Service","",0
"308","Child Daycare","Hot Dog/ Unspecified",1
"309","","Chicken/ Bbq",0
"310","Restaurant","Rice/ Spanish",0
"311","","Multiple Foods",1
"312","","Green Salad",0
"313","Restaurant","Chicken/ Buffalo Wings",0
"314","Restaurant","Chicken/ Nuggets/Fingers",1
"315","Restaurant","Chicken/ Buffalo Wings",1
"316","Catering Service","Sausage/ Unspecified",0
"317","Restaurant","Beef/ Unspecified/ Potato/ Unspecified",0
"318","Restaurant","Pita/ Chicken Salad",0
"319","Restaurant","Other Cheese/ Unspecified/ Ground Beef/ Unspecified",1
"320","Restaurant","Chicken/ Other",0
"321","Restaurant","Rice/ Unspecified/ Chicken/ Fried/ Beans/ Unspecified",1
"322","Restaurant","Sandwich/ Gyro",1
"323","Restaurant","Crab/ Unspecified/ Shrimp/ Unspecified",0
"324","Private Home/Residence","Deviled Eggs/ Salad/ Unspecified",0
"325","Restaurant","Rice/ Yellow",0
"326","Restaurant","Ground Beef/ Cheeseburger",1
"327","Restaurant","Fish/ Grouper/ Unspecified/ Salmon/ Unspecified",0
"328","Restaurant","Multiple Foods",0
"329","Restaurant","Onion/ Unspecified",0
"330","Restaurant","Chicken/ Fried",1
"331","Restaurant","Beef/ Stroganoff",1
"332","Restaurant","Chicken/ Fried",1
"333","","Salad/ Unspecified",1
"334","Restaurant","",1
"335","Private Home/Residence","Fish/ Papio",1
"336","School/College/University","",1
"337","Restaurant","Pork/ Unspecified",1
"338","Restaurant","Taco/ Unspecified",0
"339","Catering Service","",1
"340","Prison/Jail","Beets/ Unspecified/ Pudding/ Bread",1
"341","School/College/University","Unspecified Fish",1
"342","Grocery Store","Ham/ Unspecified",1
"343","Restaurant","",1
"344","Restaurant","Cinnamon Roll",1
"345","Restaurant","Pizza/ Cheese",1
"346","Restaurant","",1
"347","Restaurant","Pizza/ Unspecified",1
"348","Restaurant","",1
"349","Restaurant","Macaroni And Cheese",1
"350","Grocery Store","Turkey/ Unspecified/ Ham/ Unspecified",1
"351","Restaurant","",1
"352","Restaurant","",1
"353","Catering Service","Chicken/ Unspecified/ Cake/ Unspecified",1
"354","","",1
"355","Restaurant","Sandwich/ Chicken",1
"356","","Beef/ Unspecified/ Chicken/ Unspecified",1
"357","Prison/Jail","Eggs/ Unspecified",1
"358","","Pizza/ Unspecified",1
"359","Catering Service","Steak/ Unspecified/ Shrimp/ Unspecified/ Potato/ Unspecified",1
"360","Catering Service","Sandwich/ Submarine",1
"361","Restaurant","Salad Bar",1
"362","Restaurant","Chicken/ Unspecified",1
"363","Restaurant","Nachos And Cheese",1
"364","Restaurant","Ground Beef/ Meatballs/ Turkey/ Unspecified/ Ham/ Unspecified",1
"365","Restaurant","Pizza/ Unspecified/ Cake/ Unspecified",1
"366","Restaurant/ Private Home/Residence","",0
"367","School/College/University","Multiple Foods",1
"368","Restaurant","Ethnic Style/ Unspecified",0
"369","","Cereal/ Oat",1
"370","Religious Facility","Chicken/ Curry",0
"371","Restaurant","Green Salad",1
"372","Restaurant","Steak/ Beef Tips/ Seafood Newberg",0
"373","Restaurant","Lettuce/ Unspecified",1
"374","Religious Facility","",1
"375","Restaurant","",1
"376","Restaurant","",1
"377","Restaurant","Sandwich/ Cheese",1
"378","Restaurant","Pizza/ Unspecified",1
"379","Restaurant","Rice",1
"380","Restaurant","",1
"381","Restaurant","",1
"382","Restaurant","Unspecified Vegetables",1
"383","Restaurant","Chicken/ Kung Pao",1
"384","Restaurant","Shredded Chicken",1
"385","Restaurant","Fried Rice/ Unspecified",1
"386","Restaurant","Pork Fried Rice/ Pork/ Bbq",1
"387","Catering Service","",1
"388","Restaurant","",1
"389","","",1
"390","Restaurant","Salad/ Unspecified/ Butter/ Water",1
"391","Restaurant","",0
"392","","Beef/ Brisket",1
"393","","",1
"394","Restaurant","Fried Rice/ Unspecified/ Soup/ Egg Drop/ Egg Rolls",1
"395","","Tuna/ Unspecified",1
"396","","Salad/ Unspecified",1
"397","Catering Service","Pie/ Unspecified",1
"398","Nursing Home/Assisted Living Facility","Multiple Foods",1
"399","Private Home/Residence","Oysters/ Unspecified",1
"400","Restaurant","",1
"401","Restaurant","",1
"402","Restaurant","",1
"403","","Fish/ Codfish",1
"404","Restaurant","",1
"405","","",1
"406","Catering Service","",0
"407","Restaurant","Seabass/ Unspecified/ Oysters/ Unspecified",1
"408","","",1
"409","","",1
"410","","",1
"411","","",1
"412","Private Home/Residence","",1
"413","Private Home/Residence","Fish/ Scrod",1
"414","Restaurant","",1
"415","Private Home/Residence","Fruit Salad",1
"416","Private Home/Residence","",1
"417","Catering Service","",1
"418","Private Home/Residence","",1
"419","Private Home/Residence","Fruit Salad",1
"420","Restaurant","",1
"421","Restaurant","Oysters/ Unspecified",1
"422","Restaurant","Sandwich/ Unspecified/ Pasta/ Unspecified/ Unspecified Fruit",0
"423","Restaurant","",0
"424","Restaurant","Blue Cheese Dressing",1
"425","Restaurant","Pizza/ Unspecified",1
"426","Restaurant","Multiple Foods",0
"427","Restaurant","Salad/ Unspecified",0
"428","Restaurant","Green Salad",0
"429","Restaurant","Shrimp/ Unspecified",1
"430","Restaurant","Fish/ Dolphin",1
"431","Restaurant","Shrimp/ Unspecified",1
"432","Restaurant","Dips/ Unspecified",1
"433","Restaurant","Chicken/ Unspecified/ Potato/ Mashed",1
"434","Restaurant","Fried Rice/ Unspecified",1
"435","Restaurant","Soda/ Unspecified/ Ground Beef/ Hamburger/ French Fries",1
"436","Restaurant","Chicken And Noodles",1
"437","Restaurant","Ground Beef/ Unspecified",0
"438","Restaurant","Ethnic Style/ Unspecified/ Rice/ Unspecified",0
"439","Restaurant","Gravy/ Beef",0
"440","Restaurant","Chicken/ Unspecified",1
"441","Restaurant","Ethnic Style/ Unspecified",1
"442","Restaurant","Fried Rice/ Unspecified/ Chicken/ Fried",0
"443","Restaurant","Chicken/ Unspecified/ Caesar Salad",0
"444","Restaurant","Chicken/ Other",1
"445","Restaurant","Sandwich/ Chicken",0
"446","Restaurant","Shrimp/ Unspecified",1
"447","Restaurant","Ground Beef/ Cheeseburger/ Pork/ Bacon",1
"448","Restaurant","Ground Beef/ Hamburger",1
"449","Restaurant","Tuna/ Unspecified",1
"450","Restaurant","Pizza/ Meat",1
"451","","Beef/ Stew",0
"452","Restaurant","Beef/ Bbq",0
"453","Restaurant","Salad/ Unspecified",1
"454","","Fried Rice/ Unspecified",1
"455","Private Home/Residence","Fish/ Baracuda",1
"456","Restaurant","Salad/ Unspecified",1
"457","Restaurant","Lobster/ Unspecified/ Shrimp/ Unspecified",1
"458","","",1
"459","","",1
"460","Private Home/Residence","Fish/ Goatfish (Weke)/ Unspecified",1
"461","Restaurant","Pork/ Kalua Pig",1
"462","Restaurant","Yellowfin Tuna",1
"463","Restaurant","",1
"464","Restaurant","Dessert Unspecified",1
"465","","",1
"466","Restaurant","Lettuce-Based Salads Unspecified/ Potato/ Baked",1
"467","Restaurant","",1
"468","Restaurant","Lettuce-Based Salads Unspecified",1
"469","Restaurant","",1
"470","Restaurant","Coleslaw",1
"471","Restaurant","Deli Meat/ Unspecified",1
"472","Restaurant","",1
"473","Restaurant","",1
"474","","Roast Beef/ Unspecified/ Ham/ Unspecified",1
"475","Private Home/Residence","Shrimp Dishes Unspecified",1
"476","Restaurant","",1
"477","Restaurant","",1
"478","","Sauces/ Unspecified",1
"479","Restaurant","Tuna Steak",1
"480","Restaurant","",1
"481","Restaurant","Pizza/ Meat And Vegetable",1
"482","Restaurant","Pasta Salad",1
"483","Restaurant","Ground Beef/ Cheeseburger",1
"484","Grocery Store","Fruit Salad",1
"485","Restaurant","Sandwich/ Submarine",1
"486","Restaurant","",1
"487","Restaurant","",1
"488","Restaurant","",1
"489","Restaurant","",1
"490","","",1
"491","","Sandwich/ Unspecified",1
"492","Restaurant","Ground Beef/ Hamburger/ Onion/ Unspecified",1
"493","","Chicken/ Unspecified/ Shrimp/ Unspecified/ Salad/ Unspecified",1
"494","","Sandwich/ Turkey Club/ Spinach/ Unspecified",1
"495","","",1
"496","Restaurant","Taco/ Beef",1
"497","Restaurant","Chicken Salad",1
"498","Restaurant","Chicken Salad",1
"499","Restaurant","",1
"500","","Chicken/ Unspecified/ Coleslaw",1
"501","School/College/University","Unknown Food",1
"502","Restaurant","Vietnamese/ Unspecified",1
"503","Restaurant","Sandwich/ Ham",1
"504","Restaurant","Fried Rice/ Unspecified",1
"505","Private Home/Residence","Multiple Foods",1
"506","","Oysters/ Unspecified",1
"507","","Ground Beef/ Unspecified",1
"508","","Alfalfa Sprouts",1
"509","Restaurant","Caesar Salad/ Eggs/ Other",1
"510","Catering Service","Sandwich/ Other Specialty",1
"511","Camp","",1
"512","Catering Service","",1
"513","School/College/University","",1
"514","Private Home/Residence/ Religious Facility","Lettuce-Based Salads Unspecified",1
"515","Prison/Jail","Other Food",0
"516","Catering Service","Lettuce-Based Salads Unspecified",1
"517","Restaurant","",1
"518","Restaurant","",1
"519","Restaurant","",1
"520","","Ice Cream Bars",1
"521","Restaurant","",1
"522","Restaurant","",1
"523","","",1
"524","","",1
"525","Restaurant","Gravy/ Unspecified/ Roast Beef/ Unspecified/ Hot Dog/ Unspecified",1
"526","Restaurant","Salad/ Unspecified",1
"527","","",1
"528","School/College/University","",1
"529","","Sausage/ Unspecified/ Beef/ Brisket",1
"530","","Oysters/ Raw",1
"531","Restaurant","",0
"532","Private Home/Residence","Ground Beef/ Hamburger",1
"533","Private Home/Residence","Ground Beef/ Hamburger",1
"534","","Doughnuts/ Unspecified",1
"535","Private Home/Residence","Mango/ Unspecified",1
"536","Restaurant","",1
"537","Restaurant","",1
"538","Restaurant","Sandwich/ Unspecified",1
"539","","",1
"540","School/College/University","Taco Or Nacho Salad",1
"541","Private Home/Residence","Unspecified Fish",1
"542","Restaurant","",1
"543","Restaurant","Oysters/ Unspecified",1
"544","Catering Service","",1
"545","","Alfalfa Sprouts",1
"546","Restaurant","Pasta Salad",1
"547","Restaurant","Fish/ Ahi",1
"548","Restaurant","",1
"549","Restaurant","Pizza/ Meat",1
"550","Restaurant","",1
"551","Restaurant","",1
"552","Private Home/Residence","Beef/ Bbq",0
"553","Restaurant","Seafood/ Coleslaw",0
"554","Restaurant","Taco/ Beef",0
"555","Restaurant","Fried Rice/ Unspecified",0
"556","Restaurant","Pork/ Bbq",1
"557","Restaurant","Ethnic Style/ Unspecified",1
"558","Restaurant","Lasagna/ Unspecified",1
"559","Restaurant","Enchilada/ Unspecified/ Taco/ Unspecified",0
"560","Restaurant","Shrimp Creole",0
"561","Restaurant","Chicken/ Nuggets/Fingers",1
"562","Restaurant","Pie/ Unspecified/ Mousse",1
"563","Restaurant","Veal/ Other",1
"564","Restaurant","Rice/ Unspecified/ Chicken/ Unspecified",0
"565","Restaurant","Multiple Foods",1
"566","","Oysters/ Raw",0
"567","Restaurant","Fish/ Stuffed Flounder",1
"568","Restaurant","Shrimp/ Unspecified",1
"569","Restaurant","Salad Bar",0
"570","Restaurant","Beef/ Unspecified/ Chicken/ Unspecified/ French Fries",1
"571","Restaurant","Ethnic Style/ Unspecified",0
"572","Restaurant","French Toast/ Unspecified",1
"573","Grocery Store","Potato/ Mashed",0
"574","Restaurant","Pork/ Bbq",0
"575","Catering Service","Unspecified Fruit/ Cake/ Brownie/ Cookies/ Unspecified",0
"576","Restaurant","Yellowfin Tuna",1
"577","Restaurant","Crab/ Unspecified",1
"578","Camp","",1
"579","Private Home/Residence","Sausage/ Other",1
"580","Private Home/Residence","Fish/ Akule",1
"581","","",1
"582","Private Home/Residence","Fish/ Parrot",1
"583","School/College/University","",1
"584","Restaurant","Lettuce/ Unspecified",1
"585","Private Home/Residence","",1
"586","Catering Service","Potato Salad/ Macaroni Salad",1
"587","Catering Service","Pork/ Unspecified",1
"588","Restaurant","",1
"589","Restaurant","",1
"590","Restaurant","",1
"591","Catering Service","Bread/ Cornbread Dressing/ Crawfish/Crayfish/ Unspecified/ Eggplant Dressing",1
"592","Restaurant","",1
"593","Private Home/Residence","Ground Beef/ Hamburger",1
"594","Private Home/Residence/ Grocery Store","",1
"595","Private Home/Residence","Sausage/ Unspecified/ Crab/ Unspecified/ Cookies/ Unspecified",1
"596","Restaurant","",1
"597","Restaurant","",1
"598","Restaurant","Crab Soup",1
"599","Restaurant","",1
"600","Restaurant","Lettuce-Based Salads Unspecified",1
"601","Restaurant","",1
"602","Restaurant","Cake/ Unspecified",0
"603","Restaurant","French Fries",1
"604","Restaurant","Eggs/ Unspecified/ Ham/ Unspecified/ Cheese/ Unspecified/ Potato/ Unspecified",1
"605","Private Home/Residence","Bread/ Indian",1
"606","Restaurant","",1
"607","","",1
"608","","Eggs/ Unspecified/ Bread/ Unspecified/ Pork/ Bacon",1
"609","Restaurant","Pizza/ Unspecified",1
"610","","Pork/ Other",1
"611","Restaurant","Ground Beef/ Hamburger/ French Fries",1
"612","Restaurant","Rice/ White",1
"613","Restaurant","Chicken/ Nuggets/Fingers",1
"614","","Salad/ Unspecified",1
"615","Restaurant","",1
"616","Restaurant","",1
"617","Restaurant/ Catering Service","Sandwich/ Ham",1
"618","Catering Service","Sandwich/ Ham",1
"619","Restaurant","Sandwich/ Submarine",1
"620","Restaurant","Sandwich/ Ham/ Sandwich/ Turkey",1
"621","Restaurant","Lettuce/ Unspecified",1
"622","Catering Service","Cucumber/ Unspecified",1
"623","Restaurant","Mixed Fruit",1
"624","Restaurant","Taco/ Beef",1
"625","","",1
"626","","",1
"627","Nursing Home/Assisted Living Facility","",1
"628","Private Home/Residence","Unspecified Vegetables",1
"629","Catering Service","",1
"630","Private Home/Residence","",1
"631","","Tuna/ Unspecified",1
"632","","Guinea Pig",1
"633","Restaurant","Multiple Foods",1
"634","Restaurant","Tuna Burger",1
"635","Restaurant/ Catering Service","",1
"636","Camp","",1
"637","Catering Service","Gravy/ Unspecified/ Chicken/ Roasted",1
"638","Restaurant","",1
"639","Private Home/Residence","Chicken/ Unspecified",1
"640","Restaurant","Shrimp/ Unspecified",1
"641","Restaurant","Sandwich/ Chicken",1
"642","Restaurant","Refried Beans/ Unspecified",1
"643","","",1
"644","Restaurant","",1
"645","","",1
"646","Restaurant","",1
"647","Restaurant","Pasta Salad",1
"648","Restaurant","",1
"649","Restaurant","",1
"650","Restaurant","",1
"651","Restaurant","",1
"652","","",1
"653","","Chicken/ Buffalo Wings/ Sandwich/ Hoagie",1
"654","","",1
"655","Restaurant","Oysters/ Unspecified",1
"656","Private Home/Residence","Ice Cream/ Unspecified/ Eggs/ Other",1
"657","Private Home/Residence","",1
"658","Private Home/Residence","",1
"659","","Hot Dog/ Unspecified",1
"660","","",1
"661","Restaurant","",1
"662","","",1
"663","Restaurant","Chicken/ Unspecified",1
"664","Restaurant","",1
"665","Restaurant","",1
"666","","Fruit Salad",1
"667","Restaurant","Pizza/ Meat",1
"668","","Cheddar Cheese/ Unspecified/ Cheddar Cheese/ Unpasteurized",1
"669","","Turkey/ Unspecified/ Gravy/ Unspecified",1
"670","Restaurant","Chile Rellenos",1
"671","Prison/Jail","Chicken/ Unspecified/ Mixed Vegetables/ Unspecified",1
"672","Restaurant","",1
"673","","",1
