"","Year","Month","State","Location","Food","Ingredient","Species","Serotype.Genotype","Status","Illnesses","Hospitalizations","Fatalities"
"37",1998,"January","Hawaii","Restaurant","Fish, Ahi","","Scombroid toxin","","Confirmed",2,0,0
"38",1998,"January","Illinois","Restaurant","","","","","",4,0,0
"39",1998,"January","Illinois","","","","","","",11,0,0
"40",1998,"January","Illinois","Restaurant","","","","","",4,1,NA
"41",1998,"January","Indiana","Restaurant","","","Shigella flexneri","Serotype 6","Confirmed",25,3,0
"42",1998,"January","Maryland","Private Home/Residence","Ground Beef, Unspecified","","","","",3,NA,0
"43",1998,"January","Maryland","Restaurant","Chicken Salad","","Clostridium perfringens","","Suspected",3,0,0
"44",1998,"January","Maryland","Restaurant","Burrito, Chicken","","Salmonella enterica","Enteritidis","Confirmed",4,0,0
"45",1998,"January","Maryland","Restaurant","","","Hepatitis A","","Confirmed",21,NA,NA
"46",1998,"January","Maryland","Restaurant","","","Bacillus cereus","","Suspected",3,0,0
"47",1998,"January","Maryland","Restaurant","","","","","",2,NA,0
"48",1998,"January","Maryland","Restaurant","","","","","",2,0,0
"49",1998,"January","Maryland","Restaurant","Rice, Unspecified; Chicken, Unspecified; Pork, Unspecified","","","","",3,NA,0
"50",1998,"January","Maryland","Restaurant","Cake, Tiramisu; Eggs, Other","","Salmonella enterica","Enteritidis","Confirmed",8,0,0
"51",1998,"January","Maryland","Private Home/Residence","Chicken Salad","","Salmonella enterica","Typhimurium","Confirmed",5,1,0
"52",1998,"January","Maryland","Restaurant","Chicken Fried Rice","","Clostridium perfringens","","Suspected",4,0,0
"53",1998,"January","Maryland","Restaurant","","","","","",4,0,0
"54",1998,"January","Massachusetts","Restaurant","Dips, Unspecified","","Shigella sonnei","","Confirmed",79,6,0
"55",1998,"January","Massachusetts","","","","","","",115,0,0
"56",1998,"January","Michigan","","Chicken, Unspecified; Cake, Cheese","","","","",2,NA,NA
"57",1998,"January","Michigan","","Macaroni And Cheese; Chicken, Unspecified","","","","",6,NA,NA
"58",1998,"January","Michigan","","Multiple Foods","","","","",5,NA,NA
"59",1998,"January","Michigan","Restaurant","Eggs, Unspecified; Pork, Bacon; Potato, Unspecified","","","","",2,NA,NA
"60",1998,"January","Michigan","","","","","","",133,NA,NA
"61",1998,"January","Michigan","Restaurant","","","","","",47,NA,NA
"62",1998,"January","Michigan","Restaurant","Ground Beef, Cheeseburger","","","","",4,NA,0
"63",1998,"January","Michigan","Restaurant","Rice, Unspecified; Lettuce, Unspecified","","","","",5,0,0
"64",1998,"January","Michigan","","Sandwich, Roast Beef","","","","",2,0,0
"65",1998,"January","Michigan","Restaurant","Soup Unspecified; Stew/Chili, Unspecified; Steak, Unspecified","","","","",3,3,0
"66",1998,"January","Michigan","Restaurant","Pizza, Unspecified","","","","",19,NA,NA
"67",1998,"January","Michigan","Restaurant","Eggs, Unspecified","","","","",3,NA,NA
"68",1998,"January","Minnesota","","","","Shigella sonnei","","Confirmed",19,0,0
"69",1998,"January","Minnesota","Restaurant","Blue Cheese Dressing","","","","",16,0,0
"70",1998,"January","Multistate","Private Home/Residence","Eggnog, Homemade","","Salmonella enterica","Enteritidis","Confirmed",4,0,0
"71",1998,"January","New York","Restaurant","","","Salmonella enterica","Group D1","Confirmed",3,1,0
"72",1998,"January","New York","","Sausage, Dried","","Salmonella enterica","Group B","Confirmed",2,NA,NA
"73",1998,"January","New York","Catering Service","Unspecified Fruit","","","","",26,0,0
"74",1998,"January","North Carolina","Catering Service","","","Norovirus genogroup I","","Suspected",8,NA,NA
"75",1998,"January","Ohio","Restaurant","","","","","",2,0,0
"76",1998,"January","Ohio","Restaurant","","","","","",3,0,0
"77",1998,"January","Ohio","Restaurant","","","","","",2,0,0
"78",1998,"January","Ohio","Restaurant","","","","","",2,0,0
"79",1998,"January","Ohio","Restaurant","Pizza, Pepperoni","","","","",4,NA,NA
"80",1998,"January","Oregon","","","","Shigella boydii","","Confirmed",2,NA,NA
"81",1998,"January","Oregon","","Homemade Cheese, Unspecified","","Salmonella enterica","Typhimurium","Confirmed",8,0,0
"82",1998,"January","Pennsylvania","","Cake, Unspecified; Ice Cream, Unspecified","","","","",23,0,0
"83",1998,"January","Pennsylvania","Restaurant; Catering Service","Pasta, Unspecified; Meatballs","","Salmonella enterica","Enteritidis","Confirmed",4,2,0
"84",1998,"January","Pennsylvania","Restaurant","Chicken, Unspecified","","","","",16,0,0
"85",1998,"January","Pennsylvania","Restaurant","","","","","",17,0,0
"86",1998,"January","Texas","","Turkey Salad","","Staphylococcus aureus","","Suspected",218,NA,NA
"87",1998,"January","Virginia","Restaurant","","","","","",13,0,0
"88",1998,"January","Washington","Restaurant","","","","","",3,0,0
"89",1998,"January","Washington","Restaurant","","","","","",3,0,0
"90",1998,"January","Wisconsin","Catering Service","Beef, Unspecified","","Clostridium perfringens","","Confirmed",34,0,0
"91",1998,"February","California","Restaurant","Enchilada, Chicken","","Salmonella enterica","Enteritidis","Confirmed",10,1,0
"92",1998,"February","Colorado","Restaurant","Onion Dip","","Virus","","Suspected",11,NA,NA
"93",1998,"February","Colorado","Restaurant","Refried Beans, Unspecified; Peppers, Chili","","Clostridium perfringens","","Confirmed",10,0,0
"94",1998,"February","Colorado","Restaurant","Cream Cheese","","Virus","","Suspected",6,NA,0
"95",1998,"February","Connecticut","Restaurant","French Toast, Unspecified; Shell Eggs, Scrambled Hard","Egg","Salmonella enterica","Enteritidis","Confirmed",10,NA,NA
"96",1998,"February","Connecticut","School/College/University","Deli Meat, Unspecified","","","","",38,NA,0
"97",1998,"February","Florida","Restaurant","Stir-Fry, Unspecified; Lettuce-Based Salads Unspecified","","Norovirus genogroup I","","Suspected",39,0,0
"98",1998,"February","Florida","Restaurant","Pork, Bbq; Beans, Baked","","Clostridium perfringens","","Suspected",3,0,0
"99",1998,"February","Florida","","Hot Dog, Unspecified","","","","",8,0,0
"100",1998,"February","Florida","Restaurant","Beef, Other","","Clostridium perfringens","","Suspected",3,0,0
"101",1998,"February","Florida","Restaurant","Chicken, Buffalo Wings","","","","",6,0,0
"102",1998,"February","Florida","Restaurant","Chicken, Other","","","","",2,1,0
"103",1998,"February","Florida","Grocery Store","Oil, Unspecified","","","","",4,0,0
"104",1998,"February","Florida","Catering Service","Stir-Fry, Unspecified; Caesar Salad","","Norovirus genogroup I","","Suspected",35,1,NA
"105",1998,"February","Florida","","Burrito, Unspecified","","Staphylococcus aureus","","Suspected",18,0,0
"106",1998,"February","Florida","","Hot Dog, Unspecified","","","","",2,0,0
"107",1998,"February","Florida","Restaurant","","","Staphylococcus aureus","","Suspected",8,0,0
"108",1998,"February","Florida","Restaurant; Grocery Store","Pudding, Chocolate; Salad, Unspecified; Cake, Carrot","","","","",3,0,0
"109",1998,"February","Florida","Restaurant","","","","","",5,0,0
"110",1998,"February","Florida","Restaurant","Salmon, Unspecified","","","","",2,0,0
"111",1998,"February","Florida","","Ethnic Style, Unspecified","","Bacillus cereus","","Suspected",4,0,0
"112",1998,"February","Florida","Restaurant","Ethnic Style, Unspecified","","","","",2,0,0
"113",1998,"February","Florida","Catering Service","Rice, Unspecified","","Bacillus cereus","","Suspected",50,1,0
"114",1998,"February","Florida","Restaurant","Tuna Dishes, Unspecified","","","","",2,NA,0
"115",1998,"February","Florida","Restaurant","Rice, Unspecified","","Bacillus cereus","","Suspected",43,0,0
"116",1998,"February","Florida","Restaurant","Cream Sauce, Unspecified","","Bacillus cereus","","Suspected",15,0,0
"117",1998,"February","Florida","Restaurant","Ground Beef, Hamburger","","","","",4,0,0
"118",1998,"February","Florida","Restaurant","Wine","","","","",3,2,0
"119",1998,"February","Florida","Restaurant","Ground Beef, Hamburger","","","","",3,0,0
"120",1998,"February","Illinois","Restaurant","","","","","",33,0,0
"121",1998,"February","Indiana","","Macaroni Salad","","Staphylococcus aureus","","Confirmed",101,0,0
"122",1998,"February","Indiana","Restaurant","Crepe, Unspecified","","","","",9,0,0
"123",1998,"February","Maryland","Restaurant","","","","","",8,0,0
"124",1998,"February","Maryland","Restaurant","","","","","",3,NA,NA
"125",1998,"February","Maryland","Restaurant","Sandwich, Chicken","","","","",6,NA,NA
"126",1998,"February","Maryland","Restaurant","Eggs, Unspecified; Biscuits And Gravy","","","","",2,NA,NA
"127",1998,"February","Maryland","Restaurant","","","","","",2,NA,NA
"128",1998,"February","Maryland","Restaurant","","","","","",17,0,0
"129",1998,"February","Michigan","Restaurant","Sandwich, Reuben; Ground Beef, Hamburger","","","","",3,NA,NA
"130",1998,"February","Michigan","Restaurant","Chicken, Unspecified; Coleslaw","","","","",5,NA,NA
"131",1998,"February","Michigan","Restaurant","Taco, Unspecified","","","","",5,NA,NA
"132",1998,"February","Michigan","Restaurant","Ice","","","","",4,NA,NA
"133",1998,"February","Michigan","Restaurant","Pita","","","","",8,NA,NA
"134",1998,"February","Michigan","Catering Service","Chicken, Unspecified","","","","",20,NA,NA
"135",1998,"February","Michigan","Restaurant","Pizza, Unspecified","","","","",4,0,0
"136",1998,"February","Michigan","Restaurant","Unspecified Fish; French Fries","","","","",2,0,0
"137",1998,"February","Minnesota","Restaurant; Private Home/Residence","","","Norovirus genogroup I","","Confirmed",13,0,0
"138",1998,"February","Minnesota","School/College/University","Ground Beef, Unspecified","","Clostridium perfringens; Staphylococcus aureus","","Suspected; Suspected",16,0,0
"139",1998,"February","Mississippi","Restaurant","","","","","",12,NA,NA
"140",1998,"February","Nebraska","Restaurant","Steak, Prime Rib; Potato, Baked","","Clostridium perfringens","","Confirmed",45,0,0
"141",1998,"February","New Hampshire","Catering Service","","","","","",16,NA,NA
"142",1998,"February","New Jersey","Restaurant","","","Shigella flexneri","Serotype 2 Unspecified","Confirmed",10,6,0
"143",1998,"February","New York","Restaurant","","","","","",8,0,0
"144",1998,"February","New York","Catering Service","Egg Salad/Egg Salad Sandwich; Fish, White","","","","",23,NA,NA
"145",1998,"February","New York","Catering Service","","","","","",17,0,0
"146",1998,"February","New York","Catering Service","","","","","",17,1,0
"147",1998,"February","New York","Catering Service","","","","","",18,NA,NA
"148",1998,"February","New York","Restaurant","Deli Meat, Multiple","","Yersinia enterocolitica","","Confirmed",9,0,0
"149",1998,"February","North Carolina","Catering Service","","","Campylobacter unknown","","Confirmed",9,NA,NA
"150",1998,"February","North Carolina","Restaurant","Roast Beef, Unspecified","","","","",9,NA,0
"151",1998,"February","Ohio","Restaurant","Taco, Beef","","","","",2,1,0
"152",1998,"February","Ohio","Restaurant","","","","","",3,0,0
"153",1998,"February","Ohio","Restaurant","","","","","",4,NA,NA
"154",1998,"February","Ohio","Catering Service","Nuts, Unspecified","","","","",25,NA,NA
"155",1998,"February","Ohio","Private Home/Residence","Shrimp, Unspecified","","","","",2,0,0
"156",1998,"February","Ohio","Restaurant","","","","","",2,0,0
"157",1998,"February","Ohio","Restaurant","","","","","",3,0,0
"158",1998,"February","Ohio","Restaurant","","","","","",4,0,0
"159",1998,"February","Ohio","Restaurant","","","","","",4,0,0
"160",1998,"February","Ohio","Restaurant","Chicken, Nuggets/Fingers","","","","",3,1,0
"161",1998,"February","Ohio","Restaurant","","","","","",2,0,0
"162",1998,"February","Oregon","Private Home/Residence","Oysters, Fried","Shellfish","","","",4,0,0
"163",1998,"February","Oregon","Nursing Home/Assisted Living Facility","","","Norovirus genogroup I","","Suspected",29,2,0
"164",1998,"February","Oregon","Restaurant","Caesar Salad","","","","",38,0,0
"165",1998,"February","Oregon","Restaurant","Pasta-Based Salads Unspecified","","","","",15,0,0
"166",1998,"February","Pennsylvania","Restaurant","Seafood Soup/Stew, Unspecified; Butter; Soda, Unspecified","","","","",20,0,0
"167",1998,"February","Pennsylvania","Restaurant","Soda, Unspecified; Butter; Seafood, Unspecified","","","","",11,0,0
"168",1998,"February","Pennsylvania","Restaurant","Soup, Other Seafood Chowder; Butter; Soda, Other","","","","",20,0,0
"169",1998,"February","Pennsylvania","Restaurant","","","Salmonella enterica","Litchfield","Confirmed",6,2,0
"170",1998,"February","Pennsylvania","Restaurant","","","","","",15,0,0
"171",1998,"February","Texas","","","","","","",2,NA,NA
"172",1998,"February","Texas","Camp","","","","","",5,NA,NA
"173",1998,"February","Texas","Restaurant","Soup, Chicken","","Staphylococcus aureus","","Suspected",22,NA,NA
"174",1998,"February","Texas","Restaurant","","","Hepatitis A","","Confirmed",94,NA,1
"175",1998,"February","Washington","Restaurant","","","","","",4,0,0
"176",1998,"February","Washington","Restaurant","","","","","",2,0,0
"177",1998,"February","Washington","Restaurant","","","","","",3,0,0
"178",1998,"March","Alabama","Restaurant","","","","","",3,2,0
"179",1998,"March","Alabama","Restaurant","","","","","",2,0,0
"180",1998,"March","Arkansas","Grocery Store","Chicken, Smoked","Chicken","Streptococcus group A","","Confirmed",4,4,NA
"181",1998,"March","California","Restaurant","","","Salmonella enterica","Enteritidis","Confirmed",26,NA,NA
"182",1998,"March","California","","Sausage, Unspecified","","","","",5,1,0
"183",1998,"March","California","Restaurant","Chile Relleno, Unspecified; Rice, Unspecified; Beans, Unspecified","","Salmonella enterica","Enteritidis","Confirmed",4,0,0
"184",1998,"March","California","Private Home/Residence","","","","","",7,0,0
"185",1998,"March","California","Private Home/Residence","Ice Cream, Unspecified; Eggs, Other","","Salmonella enterica","Enteritidis","Confirmed",6,1,0
"186",1998,"March","California","Private Home/Residence","Chicken, Unspecified; Rice, Unspecified; Beans, Unspecified","","Clostridium perfringens","","Confirmed",48,0,0
"187",1998,"March","California","Restaurant","Fish, Ahi","","Scombroid toxin","","Confirmed",6,0,0
"188",1998,"March","Colorado","Restaurant","","","Virus","","Suspected",23,NA,NA
"189",1998,"March","Florida","Hospital","Leaf Lettuce, Unspecified","","Norovirus genogroup I","","Suspected",14,NA,NA
"190",1998,"March","Florida","Restaurant","Salami, Unspecified","","","","",11,0,0
"191",1998,"March","Florida","Restaurant","Taco, Beef","","","","",2,0,0
"192",1998,"March","Florida","Restaurant","Nachos, Unspecified","","Staphylococcus aureus","","Suspected",2,0,0
"193",1998,"March","Florida","Restaurant","Pasta, Unspecified; Chicken, Unspecified","","","","",3,0,0
"194",1998,"March","Florida","Restaurant","Multiple Foods","","","","",2,0,0
"195",1998,"March","Florida","Restaurant","Pizza, Meat","","","","",2,2,0
"196",1998,"March","Florida","Restaurant","Chicken, Bbq","","Salmonella enterica","","Suspected",2,0,0
"197",1998,"March","Florida","Restaurant","Beans, Baked","","","","",3,0,0
"198",1998,"March","Florida","Restaurant","Rice, Unspecified; Beans, Unspecified","","","","",2,NA,0
"199",1998,"March","Florida","Restaurant","Steak, Other","","","","",2,0,0
"200",1998,"March","Florida","Restaurant","Sandwich, Unspecified; Salad, Unspecified","","Norovirus genogroup I","","Suspected",24,0,0
"201",1998,"March","Florida","Restaurant","Ground Beef, Cheeseburger","","","","",2,0,0
"202",1998,"March","Florida","Restaurant","Pasta, Unspecified; Chicken, Unspecified","","","","",3,1,0
"203",1998,"March","Florida","Restaurant","Pork, Bbq","","Staphylococcus aureus","","Suspected",2,0,0
"204",1998,"March","Florida","Restaurant","Fish, Sole","","","","",4,0,0
"205",1998,"March","Florida","Restaurant","Pork, Bbq","","","","",2,0,0
"206",1998,"March","Florida","Restaurant","","","","","",3,2,0
"207",1998,"March","Florida","Restaurant","Oysters, Raw","","","","",2,NA,0
"208",1998,"March","Florida","","Sauces, Unspecified","","Bacillus cereus","","Suspected",2,0,0
"209",1998,"March","Florida","Restaurant","","","","","",2,0,0
"210",1998,"March","Florida","Restaurant","Chicken, Unspecified","","Salmonella enterica","Enteritidis","Suspected",4,0,0
"211",1998,"March","Florida","Restaurant","Ice","","Norovirus genogroup I","","Suspected",7,0,0
"212",1998,"March","Florida","Restaurant","Cream, Unspecified","","","","",2,0,0
"213",1998,"March","Florida","Restaurant","Enchilada, Chicken","","Salmonella enterica","","Suspected",3,0,0
"214",1998,"March","Florida","Restaurant","Ice","","Norovirus genogroup I","","Suspected",8,0,0
"215",1998,"March","Florida","School/College/University","Hot Dog, Unspecified","","Salmonella enterica","Enteritidis","Confirmed",2,1,0
"216",1998,"March","Florida","Restaurant","Sandwich, Chicken","","Staphylococcus aureus","","Suspected",3,0,0
"217",1998,"March","Florida","Restaurant","","","","","",3,0,0
"218",1998,"March","Florida","Restaurant","Coleslaw","","","","",3,0,0
"219",1998,"March","Florida","Restaurant","Steak, Other","","Salmonella enterica","","Suspected",2,0,0
"220",1998,"March","Florida","Restaurant","Rice, Unspecified; Chicken, Unspecified; Beans, Unspecified","","","","",2,0,0
"221",1998,"March","Florida","Private Home/Residence","Cake, Chocolate","","","","",2,0,0
"222",1998,"March","Florida","Private Home/Residence","Bread, Cornbread; Chicken, Unspecified; Ham, Unspecified","","Clostridium perfringens","","Suspected",18,0,0
"223",1998,"March","Florida","School/College/University","","","Norovirus genogroup I","","Confirmed",44,0,0
"224",1998,"March","Florida","Restaurant","","","Campylobacter unknown","","Confirmed",4,0,0
"225",1998,"March","Florida","Restaurant","Cake, Unspecified; Water; Potato, Unspecified","","","","",4,0,0
"226",1998,"March","Hawaii","Private Home/Residence","Unspecified Fish","","Ciguatoxin","","Confirmed",2,0,0
"227",1998,"March","Hawaii","Restaurant","Tart, Fruit","","","","",39,0,0
"228",1998,"March","Hawaii","Restaurant","Fish, Swordfish","","Scombroid toxin","","Confirmed",2,0,0
"229",1998,"March","Illinois","Restaurant","","","","","",6,0,0
"230",1998,"March","Illinois","Restaurant","Hollandaise Sauce","","Salmonella enterica","Enteritidis","Confirmed",2,0,0
"231",1998,"March","Illinois","Restaurant","Mixed Fruit; Roast Beef, Unspecified","","Norovirus genogroup II","Unknown","Confirmed",103,1,0
"232",1998,"March","Illinois","Restaurant","","","","","",3,0,0
"233",1998,"March","Illinois","Restaurant","","","","","",9,0,0
"234",1998,"March","Maryland","Restaurant","Shrimp Salad","","","","",11,1,NA
"235",1998,"March","Maryland","Office/Indoor Workplace","","","Hepatitis A","","Confirmed",5,NA,NA
"236",1998,"March","Maryland","Restaurant; Catering Service","Milkshake; Nachos, Unspecified","","Norovirus genogroup I","","Suspected",26,0,0
"237",1998,"March","Maryland","Restaurant","","","","","",3,NA,NA
"238",1998,"March","Maryland","Restaurant","Other Cheese, Unspecified; French Fries","","","","",3,0,0
"239",1998,"March","Maryland","","","","","","",3,0,0
"240",1998,"March","Maryland","Restaurant","","","","","",3,0,0
"241",1998,"March","Maryland","Restaurant","Chicken, Unspecified","","","","",2,0,0
"242",1998,"March","Massachusetts","Restaurant","","","Salmonella enterica","Typhimurium","Confirmed",6,NA,NA
"243",1998,"March","Michigan","Restaurant","Chili Sauce, Unspecified; Hot Dog, Unspecified","","","","",3,NA,NA
"244",1998,"March","Michigan","Restaurant","French Toast, Unspecified; Beef, Jerky","","","","",2,NA,NA
"245",1998,"March","Michigan","Restaurant","Pizza, Unspecified","","","","",5,NA,NA
"246",1998,"March","Michigan","","","","","","",11,NA,NA
"247",1998,"March","Michigan","Restaurant","Sushi, Unspecified","","","","",2,0,0
"248",1998,"March","Michigan","Restaurant","Rice, Unspecified; Chicken, Unspecified; Salad, Unspecified","","","","",2,1,0
"249",1998,"March","Michigan","","Shrimp, Unspecified; Caesar Salad","","","","",3,NA,NA
"250",1998,"March","Michigan","Restaurant","Sandwich, Submarine","","","","",15,0,0
"251",1998,"March","Minnesota","Restaurant","Pasta Salad","","Shigella sonnei","","Confirmed",30,1,0
"252",1998,"March","Minnesota","Restaurant","Potato Salad; Vegetable Dip, Unspecified","","","","",7,0,0
"253",1998,"March","Minnesota","Restaurant","","","","","",4,0,0
"254",1998,"March","New Hampshire","Catering Service","","","","","",12,NA,NA
"255",1998,"March","New Mexico","Restaurant","Milk, 1% Milk Unpasteurized; Sauces, Unspecified","","Staphylococcus aureus","","Confirmed",20,3,0
"256",1998,"March","New York","Restaurant","Multiple Foods","","","","",17,0,0
"257",1998,"March","New York","Restaurant","Chicken, Unspecified","","","","",5,NA,NA
"258",1998,"March","New York","","Multiple Foods","","","","",47,NA,NA
"259",1998,"March","New York","Restaurant","Salad, Unspecified","","","","",14,0,0
"260",1998,"March","New York","Restaurant","","","","","",9,0,0
"261",1998,"March","North Carolina","","","","Salmonella enterica","","Confirmed",9,NA,NA
"262",1998,"March","North Carolina","Prison/Jail","Sandwich, Submarine","","Norovirus genogroup I","","Confirmed",75,NA,NA
"263",1998,"March","Ohio","Restaurant","Chicken, Fried","","","","",2,0,0
"264",1998,"March","Ohio","Private Home/Residence","","","","","",8,1,0
"265",1998,"March","Ohio","","","","","","",3,0,0
"266",1998,"March","Ohio","","","","","","",5,0,0
"267",1998,"March","Ohio","","","","","","",49,0,0
"268",1998,"March","Ohio","","","","Salmonella enterica","Typhimurium","Confirmed",7,NA,NA
"269",1998,"March","Ohio","Restaurant","","","","","",5,0,0
"270",1998,"March","Ohio","Restaurant","","","","","",7,NA,0
"271",1998,"March","Ohio","Restaurant","","","","","",2,0,0
"272",1998,"March","Ohio","Restaurant","Onion Dip","","","","",3,0,0
"273",1998,"March","Ohio","Restaurant","Hollandaise Sauce","","Salmonella enterica","Montevideo","Confirmed",4,1,0
"274",1998,"March","Oregon","Restaurant","","","Norovirus genogroup I","","Suspected",28,1,0
"275",1998,"March","Oregon","Restaurant","Chicken, Fried","","Staphylococcus aureus","","Confirmed",5,0,0
"276",1998,"March","Pennsylvania","","","","","","",16,0,0
"277",1998,"March","Pennsylvania","","","","","","",3,0,0
"278",1998,"March","Pennsylvania","Restaurant","Lettuce, Unspecified","","","","",3,0,0
"279",1998,"March","Pennsylvania","Catering Service","Turkey And Stuffing","","Salmonella enterica","Heidelberg","Confirmed",25,1,0
"280",1998,"March","Tennessee","","","","","","",48,0,0
"281",1998,"March","Texas","","","","Virus","","Suspected",78,NA,NA
"282",1998,"March","Texas","School/College/University","Sandwich, Unspecified","","Norovirus genogroup II","Unknown","Confirmed",125,60,0
"283",1998,"March","Utah","Private Home/Residence","","","Salmonella enterica","Enteritidis","Suspected",7,1,0
"284",1998,"March","Virginia","Restaurant","Pie, Unspecified; Eggs, Other","","Salmonella enterica","Enteritidis","Confirmed",23,5,0
"285",1998,"March","Virginia","","","","Virus","","Suspected",28,NA,NA
"286",1998,"March","Virginia","Restaurant","Rice, Unspecified; Chicken, Unspecified","","","","",8,NA,NA
"287",1998,"March","Virginia","Restaurant","","","Norovirus genogroup I","","Confirmed",56,1,0
"288",1998,"March","Washington","Restaurant","Tuna, Unspecified","","Scombroid toxin","","Confirmed",2,0,0
"289",1998,"March","Washington","Restaurant","","","Hepatitis A","","Confirmed",8,0,0
"290",1998,"March","Washington","Restaurant","","","","","",2,0,0
"291",1998,"March","Washington","Restaurant","","","","","",2,0,0
"292",1998,"March","Washington","","","","","","",16,0,0
"293",1998,"March","Washington","Restaurant","","","","","",3,6,0
"294",1998,"March","Washington","Restaurant","","","","","",8,NA,NA
"295",1998,"March","Washington","Restaurant","","","","","",2,0,0
"296",1998,"March","Wisconsin","","","","Norovirus genogroup I","","Confirmed",65,1,0
"297",1998,"April","California","","","","","","",15,NA,NA
"298",1998,"April","California","Restaurant","","","Shigella boydii","","Confirmed",72,7,0
"299",1998,"April","California","Restaurant","","","","","",19,0,0
"300",1998,"April","California","Catering Service","","","","","",11,0,0
"301",1998,"April","California","","Cake, Cheese; Pasta, Unspecified","","","","",39,0,0
"302",1998,"April","California","Private Home/Residence","","","Salmonella enterica","Coeln","Confirmed",7,NA,0
"303",1998,"April","California","Restaurant","Pizza, Meat","","","","",7,0,0
"304",1998,"April","California","Restaurant","Pate, Unspecified","","Clostridium perfringens","","Confirmed",11,0,0
"305",1998,"April","Colorado","Restaurant","Rice, Unspecified; Beans, Unspecified","","Bacillus cereus","","Suspected",2,NA,0
"306",1998,"April","Colorado","Catering Service","Salad, Unspecified","","Virus","","Suspected",11,NA,0
"307",1998,"April","Colorado","Catering Service","","","Virus","","Suspected",12,NA,0
"308",1998,"April","Florida","Child Daycare","Hot Dog, Unspecified","","Norovirus genogroup II","Unknown","Confirmed",40,NA,NA
"309",1998,"April","Florida","","Chicken, Bbq","","Salmonella enterica","","Suspected",2,NA,NA
"310",1998,"April","Florida","Restaurant","Rice, Spanish","","Staphylococcus aureus","","Suspected",4,0,0
"311",1998,"April","Florida","","Multiple Foods","","Salmonella enterica","Enteritidis","Confirmed",2,0,0
