"","Year","Month","State","Location","Food","Ingredient","Species","Serotype.Genotype","Status","Illnesses","Hospitalizations","Fatalities","location","food","species"
"27",1998,"January","Florida","Restaurant","Unknown Food","","","","",2,0,0,"1","21","NA"
"28",1998,"January","Florida","Restaurant","Chicken, Nuggets/Fingers; French Fries; Soda, Unspecified","","","","",2,1,0,"1","22","NA"
"29",1998,"January","Florida","Private Home/Residence","Turkey, Unspecified","","","","",18,5,0,"3","23","NA"
"30",1998,"January","Florida","Restaurant","Steak, Unspecified","","","","",2,0,0,"1","20","NA"
"31",1998,"January","Florida","Grocery Store","Pork, Unspecified","","","","",2,0,0,"4","24","NA"
"32",1998,"January","Florida","Restaurant","Salmon, Raw; Tuna, Raw","","Campylobacter unknown","","Suspected",3,NA,NA,"1","25","10"
"33",1998,"January","Guam","Private Home/Residence","Other Milk, Unspecified","","","","",2,NA,NA,"3","26","NA"
"34",1998,"January","Guam","Restaurant","Chicken, Unspecified","","Vibrio parahaemolyticus","","Confirmed",47,0,0,"1","16","11"
"35",1998,"January","Hawaii","Private Home/Residence","Fish, Grouper, Unspecified","","Ciguatoxin","","Confirmed",3,0,0,"3","27","12"
"36",1998,"January","Hawaii","Private Home/Residence","Fish, Mahi Mahi","","Scombroid toxin","","Confirmed",2,0,0,"3","28","2"
"37",1998,"January","Hawaii","Restaurant","Fish, Ahi","","Scombroid toxin","","Confirmed",2,0,0,"1","3","2"
"38",1998,"January","Illinois","Restaurant","","","","","",4,0,0,"1","NA","NA"
"39",1998,"January","Illinois","","","","","","",11,0,0,"NA","NA","NA"
"40",1998,"January","Illinois","Restaurant","","","","","",4,1,NA,"1","NA","NA"
"41",1998,"January","Indiana","Restaurant","","","Shigella flexneri","Serotype 6","Confirmed",25,3,0,"1","NA","13"
"42",1998,"January","Maryland","Private Home/Residence","Ground Beef, Unspecified","","","","",3,NA,0,"3","29","NA"
"43",1998,"January","Maryland","Restaurant","Chicken Salad","","Clostridium perfringens","","Suspected",3,0,0,"1","8","6"
"44",1998,"January","Maryland","Restaurant","Burrito, Chicken","","Salmonella enterica","Enteritidis","Confirmed",4,0,0,"1","30","3"
"45",1998,"January","Maryland","Restaurant","","","Hepatitis A","","Confirmed",21,NA,NA,"1","NA","14"
"46",1998,"January","Maryland","Restaurant","","","Bacillus cereus","","Suspected",3,0,0,"1","NA","9"
"47",1998,"January","Maryland","Restaurant","","","","","",2,NA,0,"1","NA","NA"
"48",1998,"January","Maryland","Restaurant","","","","","",2,0,0,"1","NA","NA"
"49",1998,"January","Maryland","Restaurant","Rice, Unspecified; Chicken, Unspecified; Pork, Unspecified","","","","",3,NA,0,"1","31","NA"
"50",1998,"January","Maryland","Restaurant","Cake, Tiramisu; Eggs, Other","","Salmonella enterica","Enteritidis","Confirmed",8,0,0,"1","32","3"
"51",1998,"January","Maryland","Private Home/Residence","Chicken Salad","","Salmonella enterica","Typhimurium","Confirmed",5,1,0,"3","8","3"
"52",1998,"January","Maryland","Restaurant","Chicken Fried Rice","","Clostridium perfringens","","Suspected",4,0,0,"1","33","6"
"53",1998,"January","Maryland","Restaurant","","","","","",4,0,0,"1","NA","NA"
"54",1998,"January","Massachusetts","Restaurant","Dips, Unspecified","","Shigella sonnei","","Confirmed",79,6,0,"1","34","15"
"55",1998,"January","Massachusetts","","","","","","",115,0,0,"NA","NA","NA"
"56",1998,"January","Michigan","","Chicken, Unspecified; Cake, Cheese","","","","",2,NA,NA,"NA","35","NA"
"57",1998,"January","Michigan","","Macaroni And Cheese; Chicken, Unspecified","","","","",6,NA,NA,"NA","36","NA"
"58",1998,"January","Michigan","","Multiple Foods","","","","",5,NA,NA,"NA","37","NA"
"59",1998,"January","Michigan","Restaurant","Eggs, Unspecified; Pork, Bacon; Potato, Unspecified","","","","",2,NA,NA,"1","38","NA"
"60",1998,"January","Michigan","","","","","","",133,NA,NA,"NA","NA","NA"
"61",1998,"January","Michigan","Restaurant","","","","","",47,NA,NA,"1","NA","NA"
"62",1998,"January","Michigan","Restaurant","Ground Beef, Cheeseburger","","","","",4,NA,0,"1","12","NA"
"63",1998,"January","Michigan","Restaurant","Rice, Unspecified; Lettuce, Unspecified","","","","",5,0,0,"1","39","NA"
"64",1998,"January","Michigan","","Sandwich, Roast Beef","","","","",2,0,0,"NA","40","NA"
"65",1998,"January","Michigan","Restaurant","Soup Unspecified; Stew/Chili, Unspecified; Steak, Unspecified","","","","",3,3,0,"1","41","NA"
"66",1998,"January","Michigan","Restaurant","Pizza, Unspecified","","","","",19,NA,NA,"1","42","NA"
"67",1998,"January","Michigan","Restaurant","Eggs, Unspecified","","","","",3,NA,NA,"1","43","NA"
"68",1998,"January","Minnesota","","","","Shigella sonnei","","Confirmed",19,0,0,"NA","NA","15"
"69",1998,"January","Minnesota","Restaurant","Blue Cheese Dressing","","","","",16,0,0,"1","44","NA"
"70",1998,"January","Multistate","Private Home/Residence","Eggnog, Homemade","","Salmonella enterica","Enteritidis","Confirmed",4,0,0,"3","45","3"
"71",1998,"January","New York","Restaurant","","","Salmonella enterica","Group D1","Confirmed",3,1,0,"1","NA","3"
"72",1998,"January","New York","","Sausage, Dried","","Salmonella enterica","Group B","Confirmed",2,NA,NA,"NA","46","3"
"73",1998,"January","New York","Catering Service","Unspecified Fruit","","","","",26,0,0,"5","47","NA"
"74",1998,"January","North Carolina","Catering Service","","","Norovirus genogroup I","","Suspected",8,NA,NA,"5","NA","7"
"75",1998,"January","Ohio","Restaurant","","","","","",2,0,0,"1","NA","NA"
"76",1998,"January","Ohio","Restaurant","","","","","",3,0,0,"1","NA","NA"
"77",1998,"January","Ohio","Restaurant","","","","","",2,0,0,"1","NA","NA"
"78",1998,"January","Ohio","Restaurant","","","","","",2,0,0,"1","NA","NA"
"79",1998,"January","Ohio","Restaurant","Pizza, Pepperoni","","","","",4,NA,NA,"1","48","NA"
"80",1998,"January","Oregon","","","","Shigella boydii","","Confirmed",2,NA,NA,"NA","NA","4"
"81",1998,"January","Oregon","","Homemade Cheese, Unspecified","","Salmonella enterica","Typhimurium","Confirmed",8,0,0,"NA","49","3"
"82",1998,"January","Pennsylvania","","Cake, Unspecified; Ice Cream, Unspecified","","","","",23,0,0,"NA","50","NA"
"83",1998,"January","Pennsylvania","Restaurant; Catering Service","Pasta, Unspecified; Meatballs","","Salmonella enterica","Enteritidis","Confirmed",4,2,0,"6","51","3"
"84",1998,"January","Pennsylvania","Restaurant","Chicken, Unspecified","","","","",16,0,0,"1","16","NA"
"85",1998,"January","Pennsylvania","Restaurant","","","","","",17,0,0,"1","NA","NA"
"86",1998,"January","Texas","","Turkey Salad","","Staphylococcus aureus","","Suspected",218,NA,NA,"NA","52","8"
"87",1998,"January","Virginia","Restaurant","","","","","",13,0,0,"1","NA","NA"
"88",1998,"January","Washington","Restaurant","","","","","",3,0,0,"1","NA","NA"
"89",1998,"January","Washington","Restaurant","","","","","",3,0,0,"1","NA","NA"
"90",1998,"January","Wisconsin","Catering Service","Beef, Unspecified","","Clostridium perfringens","","Confirmed",34,0,0,"5","53","6"
"91",1998,"February","California","Restaurant","Enchilada, Chicken","","Salmonella enterica","Enteritidis","Confirmed",10,1,0,"1","54","3"
"92",1998,"February","Colorado","Restaurant","Onion Dip","","Virus","","Suspected",11,NA,NA,"1","55","5"
"93",1998,"February","Colorado","Restaurant","Refried Beans, Unspecified; Peppers, Chili","","Clostridium perfringens","","Confirmed",10,0,0,"1","56","6"
"94",1998,"February","Colorado","Restaurant","Cream Cheese","","Virus","","Suspected",6,NA,0,"1","57","5"
"95",1998,"February","Connecticut","Restaurant","French Toast, Unspecified; Shell Eggs, Scrambled Hard","Egg","Salmonella enterica","Enteritidis","Confirmed",10,NA,NA,"1","58","3"
"96",1998,"February","Connecticut","School/College/University","Deli Meat, Unspecified","","","","",38,NA,0,"7","59","NA"
"97",1998,"February","Florida","Restaurant","Stir-Fry, Unspecified; Lettuce-Based Salads Unspecified","","Norovirus genogroup I","","Suspected",39,0,0,"1","60","7"
"98",1998,"February","Florida","Restaurant","Pork, Bbq; Beans, Baked","","Clostridium perfringens","","Suspected",3,0,0,"1","61","6"
"99",1998,"February","Florida","","Hot Dog, Unspecified","","","","",8,0,0,"NA","62","NA"
"100",1998,"February","Florida","Restaurant","Beef, Other","","Clostridium perfringens","","Suspected",3,0,0,"1","63","6"
"101",1998,"February","Florida","Restaurant","Chicken, Buffalo Wings","","","","",6,0,0,"1","64","NA"
"102",1998,"February","Florida","Restaurant","Chicken, Other","","","","",2,1,0,"1","65","NA"
"103",1998,"February","Florida","Grocery Store","Oil, Unspecified","","","","",4,0,0,"4","66","NA"
"104",1998,"February","Florida","Catering Service","Stir-Fry, Unspecified; Caesar Salad","","Norovirus genogroup I","","Suspected",35,1,NA,"5","67","7"
"105",1998,"February","Florida","","Burrito, Unspecified","","Staphylococcus aureus","","Suspected",18,0,0,"NA","68","8"
"106",1998,"February","Florida","","Hot Dog, Unspecified","","","","",2,0,0,"NA","62","NA"
"107",1998,"February","Florida","Restaurant","","","Staphylococcus aureus","","Suspected",8,0,0,"1","NA","8"
"108",1998,"February","Florida","Restaurant; Grocery Store","Pudding, Chocolate; Salad, Unspecified; Cake, Carrot","","","","",3,0,0,"8","69","NA"
"109",1998,"February","Florida","Restaurant","","","","","",5,0,0,"1","NA","NA"
"110",1998,"February","Florida","Restaurant","Salmon, Unspecified","","","","",2,0,0,"1","70","NA"
"111",1998,"February","Florida","","Ethnic Style, Unspecified","","Bacillus cereus","","Suspected",4,0,0,"NA","10","9"
"112",1998,"February","Florida","Restaurant","Ethnic Style, Unspecified","","","","",2,0,0,"1","10","NA"
"113",1998,"February","Florida","Catering Service","Rice, Unspecified","","Bacillus cereus","","Suspected",50,1,0,"5","71","9"
"114",1998,"February","Florida","Restaurant","Tuna Dishes, Unspecified","","","","",2,NA,0,"1","72","NA"
"115",1998,"February","Florida","Restaurant","Rice, Unspecified","","Bacillus cereus","","Suspected",43,0,0,"1","71","9"
"116",1998,"February","Florida","Restaurant","Cream Sauce, Unspecified","","Bacillus cereus","","Suspected",15,0,0,"1","73","9"
"117",1998,"February","Florida","Restaurant","Ground Beef, Hamburger","","","","",4,0,0,"1","74","NA"
"118",1998,"February","Florida","Restaurant","Wine","","","","",3,2,0,"1","75","NA"
"119",1998,"February","Florida","Restaurant","Ground Beef, Hamburger","","","","",3,0,0,"1","74","NA"
"120",1998,"February","Illinois","Restaurant","","","","","",33,0,0,"1","NA","NA"
"121",1998,"February","Indiana","","Macaroni Salad","","Staphylococcus aureus","","Confirmed",101,0,0,"NA","76","8"
"122",1998,"February","Indiana","Restaurant","Crepe, Unspecified","","","","",9,0,0,"1","77","NA"
"123",1998,"February","Maryland","Restaurant","","","","","",8,0,0,"1","NA","NA"
"124",1998,"February","Maryland","Restaurant","","","","","",3,NA,NA,"1","NA","NA"
"125",1998,"February","Maryland","Restaurant","Sandwich, Chicken","","","","",6,NA,NA,"1","15","NA"
"126",1998,"February","Maryland","Restaurant","Eggs, Unspecified; Biscuits And Gravy","","","","",2,NA,NA,"1","78","NA"
"127",1998,"February","Maryland","Restaurant","","","","","",2,NA,NA,"1","NA","NA"
"128",1998,"February","Maryland","Restaurant","","","","","",17,0,0,"1","NA","NA"
"129",1998,"February","Michigan","Restaurant","Sandwich, Reuben; Ground Beef, Hamburger","","","","",3,NA,NA,"1","79","NA"
"130",1998,"February","Michigan","Restaurant","Chicken, Unspecified; Coleslaw","","","","",5,NA,NA,"1","80","NA"
"131",1998,"February","Michigan","Restaurant","Taco, Unspecified","","","","",5,NA,NA,"1","81","NA"
"132",1998,"February","Michigan","Restaurant","Ice","","","","",4,NA,NA,"1","82","NA"
"133",1998,"February","Michigan","Restaurant","Pita","","","","",8,NA,NA,"1","83","NA"
"134",1998,"February","Michigan","Catering Service","Chicken, Unspecified","","","","",20,NA,NA,"5","16","NA"
"135",1998,"February","Michigan","Restaurant","Pizza, Unspecified","","","","",4,0,0,"1","42","NA"
"136",1998,"February","Michigan","Restaurant","Unspecified Fish; French Fries","","","","",2,0,0,"1","84","NA"
"137",1998,"February","Minnesota","Restaurant; Private Home/Residence","","","Norovirus genogroup I","","Confirmed",13,0,0,"9","NA","7"
"138",1998,"February","Minnesota","School/College/University","Ground Beef, Unspecified","","Clostridium perfringens; Staphylococcus aureus","","Suspected; Suspected",16,0,0,"7","29","16"
"139",1998,"February","Mississippi","Restaurant","","","","","",12,NA,NA,"1","NA","NA"
"140",1998,"February","Nebraska","Restaurant","Steak, Prime Rib; Potato, Baked","","Clostridium perfringens","","Confirmed",45,0,0,"1","85","6"
"141",1998,"February","New Hampshire","Catering Service","","","","","",16,NA,NA,"5","NA","NA"
"142",1998,"February","New Jersey","Restaurant","","","Shigella flexneri","Serotype 2 Unspecified","Confirmed",10,6,0,"1","NA","13"
"143",1998,"February","New York","Restaurant","","","","","",8,0,0,"1","NA","NA"
"144",1998,"February","New York","Catering Service","Egg Salad/Egg Salad Sandwich; Fish, White","","","","",23,NA,NA,"5","86","NA"
"145",1998,"February","New York","Catering Service","","","","","",17,0,0,"5","NA","NA"
"146",1998,"February","New York","Catering Service","","","","","",17,1,0,"5","NA","NA"
"147",1998,"February","New York","Catering Service","","","","","",18,NA,NA,"5","NA","NA"
"148",1998,"February","New York","Restaurant","Deli Meat, Multiple","","Yersinia enterocolitica","","Confirmed",9,0,0,"1","87","17"
"149",1998,"February","North Carolina","Catering Service","","","Campylobacter unknown","","Confirmed",9,NA,NA,"5","NA","10"
"150",1998,"February","North Carolina","Restaurant","Roast Beef, Unspecified","","","","",9,NA,0,"1","88","NA"
"151",1998,"February","Ohio","Restaurant","Taco, Beef","","","","",2,1,0,"1","89","NA"
"152",1998,"February","Ohio","Restaurant","","","","","",3,0,0,"1","NA","NA"
"153",1998,"February","Ohio","Restaurant","","","","","",4,NA,NA,"1","NA","NA"
"154",1998,"February","Ohio","Catering Service","Nuts, Unspecified","","","","",25,NA,NA,"5","90","NA"
"155",1998,"February","Ohio","Private Home/Residence","Shrimp, Unspecified","","","","",2,0,0,"3","91","NA"
"156",1998,"February","Ohio","Restaurant","","","","","",2,0,0,"1","NA","NA"
"157",1998,"February","Ohio","Restaurant","","","","","",3,0,0,"1","NA","NA"
"158",1998,"February","Ohio","Restaurant","","","","","",4,0,0,"1","NA","NA"
"159",1998,"February","Ohio","Restaurant","","","","","",4,0,0,"1","NA","NA"
"160",1998,"February","Ohio","Restaurant","Chicken, Nuggets/Fingers","","","","",3,1,0,"1","92","NA"
"161",1998,"February","Ohio","Restaurant","","","","","",2,0,0,"1","NA","NA"
"162",1998,"February","Oregon","Private Home/Residence","Oysters, Fried","Shellfish","","","",4,0,0,"3","93","NA"
"163",1998,"February","Oregon","Nursing Home/Assisted Living Facility","","","Norovirus genogroup I","","Suspected",29,2,0,"10","NA","7"
"164",1998,"February","Oregon","Restaurant","Caesar Salad","","","","",38,0,0,"1","94","NA"
"165",1998,"February","Oregon","Restaurant","Pasta-Based Salads Unspecified","","","","",15,0,0,"1","95","NA"
"166",1998,"February","Pennsylvania","Restaurant","Seafood Soup/Stew, Unspecified; Butter; Soda, Unspecified","","","","",20,0,0,"1","96","NA"
"167",1998,"February","Pennsylvania","Restaurant","Soda, Unspecified; Butter; Seafood, Unspecified","","","","",11,0,0,"1","97","NA"
"168",1998,"February","Pennsylvania","Restaurant","Soup, Other Seafood Chowder; Butter; Soda, Other","","","","",20,0,0,"1","98","NA"
"169",1998,"February","Pennsylvania","Restaurant","","","Salmonella enterica","Litchfield","Confirmed",6,2,0,"1","NA","3"
"170",1998,"February","Pennsylvania","Restaurant","","","","","",15,0,0,"1","NA","NA"
"171",1998,"February","Texas","","","","","","",2,NA,NA,"NA","NA","NA"
"172",1998,"February","Texas","Camp","","","","","",5,NA,NA,"11","NA","NA"
"173",1998,"February","Texas","Restaurant","Soup, Chicken","","Staphylococcus aureus","","Suspected",22,NA,NA,"1","99","8"
"174",1998,"February","Texas","Restaurant","","","Hepatitis A","","Confirmed",94,NA,1,"1","NA","14"
"175",1998,"February","Washington","Restaurant","","","","","",4,0,0,"1","NA","NA"
"176",1998,"February","Washington","Restaurant","","","","","",2,0,0,"1","NA","NA"
"177",1998,"February","Washington","Restaurant","","","","","",3,0,0,"1","NA","NA"
"178",1998,"March","Alabama","Restaurant","","","","","",3,2,0,"1","NA","NA"
"179",1998,"March","Alabama","Restaurant","","","","","",2,0,0,"1","NA","NA"
"180",1998,"March","Arkansas","Grocery Store","Chicken, Smoked","Chicken","Streptococcus group A","","Confirmed",4,4,NA,"4","100","18"
"181",1998,"March","California","Restaurant","","","Salmonella enterica","Enteritidis","Confirmed",26,NA,NA,"1","NA","3"
"182",1998,"March","California","","Sausage, Unspecified","","","","",5,1,0,"NA","101","NA"
"183",1998,"March","California","Restaurant","Chile Relleno, Unspecified; Rice, Unspecified; Beans, Unspecified","","Salmonella enterica","Enteritidis","Confirmed",4,0,0,"1","102","3"
"184",1998,"March","California","Private Home/Residence","","","","","",7,0,0,"3","NA","NA"
"185",1998,"March","California","Private Home/Residence","Ice Cream, Unspecified; Eggs, Other","","Salmonella enterica","Enteritidis","Confirmed",6,1,0,"3","103","3"
"186",1998,"March","California","Private Home/Residence","Chicken, Unspecified; Rice, Unspecified; Beans, Unspecified","","Clostridium perfringens","","Confirmed",48,0,0,"3","104","6"
"187",1998,"March","California","Restaurant","Fish, Ahi","","Scombroid toxin","","Confirmed",6,0,0,"1","3","2"
"188",1998,"March","Colorado","Restaurant","","","Virus","","Suspected",23,NA,NA,"1","NA","5"
"189",1998,"March","Florida","Hospital","Leaf Lettuce, Unspecified","","Norovirus genogroup I","","Suspected",14,NA,NA,"12","105","7"
"190",1998,"March","Florida","Restaurant","Salami, Unspecified","","","","",11,0,0,"1","106","NA"
"191",1998,"March","Florida","Restaurant","Taco, Beef","","","","",2,0,0,"1","89","NA"
"192",1998,"March","Florida","Restaurant","Nachos, Unspecified","","Staphylococcus aureus","","Suspected",2,0,0,"1","107","8"
"193",1998,"March","Florida","Restaurant","Pasta, Unspecified; Chicken, Unspecified","","","","",3,0,0,"1","108","NA"
"194",1998,"March","Florida","Restaurant","Multiple Foods","","","","",2,0,0,"1","37","NA"
"195",1998,"March","Florida","Restaurant","Pizza, Meat","","","","",2,2,0,"1","109","NA"
"196",1998,"March","Florida","Restaurant","Chicken, Bbq","","Salmonella enterica","","Suspected",2,0,0,"1","110","3"
"197",1998,"March","Florida","Restaurant","Beans, Baked","","","","",3,0,0,"1","111","NA"
"198",1998,"March","Florida","Restaurant","Rice, Unspecified; Beans, Unspecified","","","","",2,NA,0,"1","112","NA"
"199",1998,"March","Florida","Restaurant","Steak, Other","","","","",2,0,0,"1","113","NA"
"200",1998,"March","Florida","Restaurant","Sandwich, Unspecified; Salad, Unspecified","","Norovirus genogroup I","","Suspected",24,0,0,"1","114","7"
"201",1998,"March","Florida","Restaurant","Ground Beef, Cheeseburger","","","","",2,0,0,"1","12","NA"
"202",1998,"March","Florida","Restaurant","Pasta, Unspecified; Chicken, Unspecified","","","","",3,1,0,"1","108","NA"
"203",1998,"March","Florida","Restaurant","Pork, Bbq","","Staphylococcus aureus","","Suspected",2,0,0,"1","115","8"
"204",1998,"March","Florida","Restaurant","Fish, Sole","","","","",4,0,0,"1","116","NA"
"205",1998,"March","Florida","Restaurant","Pork, Bbq","","","","",2,0,0,"1","115","NA"
"206",1998,"March","Florida","Restaurant","","","","","",3,2,0,"1","NA","NA"
"207",1998,"March","Florida","Restaurant","Oysters, Raw","","","","",2,NA,0,"1","117","NA"
"208",1998,"March","Florida","","Sauces, Unspecified","","Bacillus cereus","","Suspected",2,0,0,"NA","118","9"
"209",1998,"March","Florida","Restaurant","","","","","",2,0,0,"1","NA","NA"
"210",1998,"March","Florida","Restaurant","Chicken, Unspecified","","Salmonella enterica","Enteritidis","Suspected",4,0,0,"1","16","3"
"211",1998,"March","Florida","Restaurant","Ice","","Norovirus genogroup I","","Suspected",7,0,0,"1","82","7"
"212",1998,"March","Florida","Restaurant","Cream, Unspecified","","","","",2,0,0,"1","119","NA"
"213",1998,"March","Florida","Restaurant","Enchilada, Chicken","","Salmonella enterica","","Suspected",3,0,0,"1","54","3"
"214",1998,"March","Florida","Restaurant","Ice","","Norovirus genogroup I","","Suspected",8,0,0,"1","82","7"
"215",1998,"March","Florida","School/College/University","Hot Dog, Unspecified","","Salmonella enterica","Enteritidis","Confirmed",2,1,0,"7","62","3"
"216",1998,"March","Florida","Restaurant","Sandwich, Chicken","","Staphylococcus aureus","","Suspected",3,0,0,"1","15","8"
"217",1998,"March","Florida","Restaurant","","","","","",3,0,0,"1","NA","NA"
"218",1998,"March","Florida","Restaurant","Coleslaw","","","","",3,0,0,"1","120","NA"
"219",1998,"March","Florida","Restaurant","Steak, Other","","Salmonella enterica","","Suspected",2,0,0,"1","113","3"
"220",1998,"March","Florida","Restaurant","Rice, Unspecified; Chicken, Unspecified; Beans, Unspecified","","","","",2,0,0,"1","121","NA"
"221",1998,"March","Florida","Private Home/Residence","Cake, Chocolate","","","","",2,0,0,"3","122","NA"
"222",1998,"March","Florida","Private Home/Residence","Bread, Cornbread; Chicken, Unspecified; Ham, Unspecified","","Clostridium perfringens","","Suspected",18,0,0,"3","123","6"
"223",1998,"March","Florida","School/College/University","","","Norovirus genogroup I","","Confirmed",44,0,0,"7","NA","7"
"224",1998,"March","Florida","Restaurant","","","Campylobacter unknown","","Confirmed",4,0,0,"1","NA","10"
"225",1998,"March","Florida","Restaurant","Cake, Unspecified; Water; Potato, Unspecified","","","","",4,0,0,"1","124","NA"
"226",1998,"March","Hawaii","Private Home/Residence","Unspecified Fish","","Ciguatoxin","","Confirmed",2,0,0,"3","125","12"
"227",1998,"March","Hawaii","Restaurant","Tart, Fruit","","","","",39,0,0,"1","126","NA"
"228",1998,"March","Hawaii","Restaurant","Fish, Swordfish","","Scombroid toxin","","Confirmed",2,0,0,"1","127","2"
"229",1998,"March","Illinois","Restaurant","","","","","",6,0,0,"1","NA","NA"
"230",1998,"March","Illinois","Restaurant","Hollandaise Sauce","","Salmonella enterica","Enteritidis","Confirmed",2,0,0,"1","128","3"
"231",1998,"March","Illinois","Restaurant","Mixed Fruit; Roast Beef, Unspecified","","Norovirus genogroup II","Unknown","Confirmed",103,1,0,"1","129","19"
"232",1998,"March","Illinois","Restaurant","","","","","",3,0,0,"1","NA","NA"
"233",1998,"March","Illinois","Restaurant","","","","","",9,0,0,"1","NA","NA"
"234",1998,"March","Maryland","Restaurant","Shrimp Salad","","","","",11,1,NA,"1","130","NA"
"235",1998,"March","Maryland","Office/Indoor Workplace","","","Hepatitis A","","Confirmed",5,NA,NA,"13","NA","14"
"236",1998,"March","Maryland","Restaurant; Catering Service","Milkshake; Nachos, Unspecified","","Norovirus genogroup I","","Suspected",26,0,0,"6","131","7"
"237",1998,"March","Maryland","Restaurant","","","","","",3,NA,NA,"1","NA","NA"
"238",1998,"March","Maryland","Restaurant","Other Cheese, Unspecified; French Fries","","","","",3,0,0,"1","132","NA"
"239",1998,"March","Maryland","","","","","","",3,0,0,"NA","NA","NA"
"240",1998,"March","Maryland","Restaurant","","","","","",3,0,0,"1","NA","NA"
"241",1998,"March","Maryland","Restaurant","Chicken, Unspecified","","","","",2,0,0,"1","16","NA"
"242",1998,"March","Massachusetts","Restaurant","","","Salmonella enterica","Typhimurium","Confirmed",6,NA,NA,"1","NA","3"
"243",1998,"March","Michigan","Restaurant","Chili Sauce, Unspecified; Hot Dog, Unspecified","","","","",3,NA,NA,"1","133","NA"
"244",1998,"March","Michigan","Restaurant","French Toast, Unspecified; Beef, Jerky","","","","",2,NA,NA,"1","134","NA"
"245",1998,"March","Michigan","Restaurant","Pizza, Unspecified","","","","",5,NA,NA,"1","42","NA"
"246",1998,"March","Michigan","","","","","","",11,NA,NA,"NA","NA","NA"
"247",1998,"March","Michigan","Restaurant","Sushi, Unspecified","","","","",2,0,0,"1","135","NA"
"248",1998,"March","Michigan","Restaurant","Rice, Unspecified; Chicken, Unspecified; Salad, Unspecified","","","","",2,1,0,"1","136","NA"
"249",1998,"March","Michigan","","Shrimp, Unspecified; Caesar Salad","","","","",3,NA,NA,"NA","137","NA"
"250",1998,"March","Michigan","Restaurant","Sandwich, Submarine","","","","",15,0,0,"1","138","NA"
"251",1998,"March","Minnesota","Restaurant","Pasta Salad","","Shigella sonnei","","Confirmed",30,1,0,"1","139","15"
"252",1998,"March","Minnesota","Restaurant","Potato Salad; Vegetable Dip, Unspecified","","","","",7,0,0,"1","140","NA"
"253",1998,"March","Minnesota","Restaurant","","","","","",4,0,0,"1","NA","NA"
"254",1998,"March","New Hampshire","Catering Service","","","","","",12,NA,NA,"5","NA","NA"
