Year,Month,State,Location,Food,Ingredient,Species,Serotype/Genotype,Status,Illnesses,Hospitalizations,Fatalities
1998,January,New York,Restaurant,NA,NA,Salmonella enterica,Group D1,Confirmed,3,1,0
1998,January,New York,NA,"Sausage, Dried",NA,Salmonella enterica,Group B,Confirmed,2,NA,NA
1998,January,New York,Catering Service,Unspecified Fruit,NA,NA,NA,NA,26,0,0
1998,January,North Carolina,Catering Service,NA,NA,Norovirus genogroup I,NA,Suspected,8,NA,NA
1998,January,Ohio,Restaurant,NA,NA,NA,NA,NA,2,0,0
1998,January,Ohio,Restaurant,NA,NA,NA,NA,NA,3,0,0
1998,January,Ohio,Restaurant,NA,NA,NA,NA,NA,2,0,0
1998,January,Ohio,Restaurant,NA,NA,NA,NA,NA,2,0,0
1998,January,Ohio,Restaurant,"Pizza, Pepperoni",NA,NA,NA,NA,4,NA,NA
1998,January,Oregon,NA,NA,NA,Shigella boydii,NA,Confirmed,2,NA,NA
1998,January,Oregon,NA,"Homemade Cheese, Unspecified",NA,Salmonella enterica,Typhimurium,Confirmed,8,0,0
1998,January,Pennsylvania,NA,"Cake, Unspecified; Ice Cream, Unspecified",NA,NA,NA,NA,23,0,0
1998,January,Pennsylvania,Restaurant; Catering Service,"Pasta, Unspecified; Meatballs",NA,Salmonella enterica,Enteritidis,Confirmed,4,2,0
1998,January,Pennsylvania,Restaurant,"Chicken, Unspecified",NA,NA,NA,NA,16,0,0
1998,January,Pennsylvania,Restaurant,NA,NA,NA,NA,NA,17,0,0
1998,January,Texas,NA,Turkey Salad,NA,Staphylococcus aureus,NA,Suspected,218,NA,NA
1998,January,Virginia,Restaurant,NA,NA,NA,NA,NA,13,0,0
1998,January,Washington,Restaurant,NA,NA,NA,NA,NA,3,0,0
1998,January,Washington,Restaurant,NA,NA,NA,NA,NA,3,0,0
1998,January,Wisconsin,Catering Service,"Beef, Unspecified",NA,Clostridium perfringens,NA,Confirmed,34,0,0
1998,February,California,Restaurant,"Enchilada, Chicken",NA,Salmonella enterica,Enteritidis,Confirmed,10,1,0
1998,February,Colorado,Restaurant,Onion Dip,NA,Virus,NA,Suspected,11,NA,NA
1998,February,Colorado,Restaurant,"Refried Beans, Unspecified; Peppers, Chili",NA,Clostridium perfringens,NA,Confirmed,10,0,0
1998,February,Colorado,Restaurant,Cream Cheese,NA,Virus,NA,Suspected,6,NA,0
1998,February,Connecticut,Restaurant,"French Toast, Unspecified; Shell Eggs, Scrambled Hard",Egg,Salmonella enterica,Enteritidis,Confirmed,10,NA,NA
1998,February,Connecticut,School/College/University,"Deli Meat, Unspecified",NA,NA,NA,NA,38,NA,0
1998,February,Florida,Restaurant,"Stir-Fry, Unspecified; Lettuce-Based Salads Unspecified",NA,Norovirus genogroup I,NA,Suspected,39,0,0
1998,February,Florida,Restaurant,"Pork, Bbq; Beans, Baked",NA,Clostridium perfringens,NA,Suspected,3,0,0
1998,February,Florida,NA,"Hot Dog, Unspecified",NA,NA,NA,NA,8,0,0
1998,February,Florida,Restaurant,"Beef, Other",NA,Clostridium perfringens,NA,Suspected,3,0,0
1998,February,Florida,Restaurant,"Chicken, Buffalo Wings",NA,NA,NA,NA,6,0,0
1998,February,Florida,Restaurant,"Chicken, Other",NA,NA,NA,NA,2,1,0
1998,February,Florida,Grocery Store,"Oil, Unspecified",NA,NA,NA,NA,4,0,0
1998,February,Florida,Catering Service,"Stir-Fry, Unspecified; Caesar Salad",NA,Norovirus genogroup I,NA,Suspected,35,1,NA
1998,February,Florida,NA,"Burrito, Unspecified",NA,Staphylococcus aureus,NA,Suspected,18,0,0
1998,February,Florida,NA,"Hot Dog, Unspecified",NA,NA,NA,NA,2,0,0
1998,February,Florida,Restaurant,NA,NA,Staphylococcus aureus,NA,Suspected,8,0,0
1998,February,Florida,Restaurant; Grocery Store,"Pudding, Chocolate; Salad, Unspecified; Cake, Carrot",NA,NA,NA,NA,3,0,0
1998,February,Florida,Restaurant,NA,NA,NA,NA,NA,5,0,0
1998,February,Florida,Restaurant,"Salmon, Unspecified",NA,NA,NA,NA,2,0,0
1998,February,Florida,NA,"Ethnic Style, Unspecified",NA,Bacillus cereus,NA,Suspected,4,0,0
1998,February,Florida,Restaurant,"Ethnic Style, Unspecified",NA,NA,NA,NA,2,0,0
1998,February,Florida,Catering Service,"Rice, Unspecified",NA,Bacillus cereus,NA,Suspected,50,1,0
1998,February,Florida,Restaurant,"Tuna Dishes, Unspecified",NA,NA,NA,NA,2,NA,0
1998,February,Florida,Restaurant,"Rice, Unspecified",NA,Bacillus cereus,NA,Suspected,43,0,0
1998,February,Florida,Restaurant,"Cream Sauce, Unspecified",NA,Bacillus cereus,NA,Suspected,15,0,0
1998,February,Florida,Restaurant,"Ground Beef, Hamburger",NA,NA,NA,NA,4,0,0
1998,February,Florida,Restaurant,Wine,NA,NA,NA,NA,3,2,0
1998,February,Florida,Restaurant,"Ground Beef, Hamburger",NA,NA,NA,NA,3,0,0
1998,February,Illinois,Restaurant,NA,NA,NA,NA,NA,33,0,0
1998,February,Indiana,NA,Macaroni Salad,NA,Staphylococcus aureus,NA,Confirmed,101,0,0
1998,February,Indiana,Restaurant,"Crepe, Unspecified",NA,NA,NA,NA,9,0,0
1998,February,Maryland,Restaurant,NA,NA,NA,NA,NA,8,0,0
1998,February,Maryland,Restaurant,NA,NA,NA,NA,NA,3,NA,NA
1998,February,Maryland,Restaurant,"Sandwich, Chicken",NA,NA,NA,NA,6,NA,NA
1998,February,Maryland,Restaurant,"Eggs, Unspecified; Biscuits And Gravy",NA,NA,NA,NA,2,NA,NA
1998,February,Maryland,Restaurant,NA,NA,NA,NA,NA,2,NA,NA
1998,February,Maryland,Restaurant,NA,NA,NA,NA,NA,17,0,0
1998,February,Michigan,Restaurant,"Sandwich, Reuben; Ground Beef, Hamburger",NA,NA,NA,NA,3,NA,NA
1998,February,Michigan,Restaurant,"Chicken, Unspecified; Coleslaw",NA,NA,NA,NA,5,NA,NA
1998,February,Michigan,Restaurant,"Taco, Unspecified",NA,NA,NA,NA,5,NA,NA
1998,February,Michigan,Restaurant,Ice,NA,NA,NA,NA,4,NA,NA
1998,February,Michigan,Restaurant,Pita,NA,NA,NA,NA,8,NA,NA
1998,February,Michigan,Catering Service,"Chicken, Unspecified",NA,NA,NA,NA,20,NA,NA
1998,February,Michigan,Restaurant,"Pizza, Unspecified",NA,NA,NA,NA,4,0,0
1998,February,Michigan,Restaurant,Unspecified Fish; French Fries,NA,NA,NA,NA,2,0,0
1998,February,Minnesota,Restaurant; Private Home/Residence,NA,NA,Norovirus genogroup I,NA,Confirmed,13,0,0
1998,February,Minnesota,School/College/University,"Ground Beef, Unspecified",NA,Clostridium perfringens; Staphylococcus aureus,NA,Suspected; Suspected,16,0,0
1998,February,Mississippi,Restaurant,NA,NA,NA,NA,NA,12,NA,NA
1998,February,Nebraska,Restaurant,"Steak, Prime Rib; Potato, Baked",NA,Clostridium perfringens,NA,Confirmed,45,0,0
1998,February,New Hampshire,Catering Service,NA,NA,NA,NA,NA,16,NA,NA
1998,February,New Jersey,Restaurant,NA,NA,Shigella flexneri,Serotype 2 Unspecified,Confirmed,10,6,0
1998,February,New York,Restaurant,NA,NA,NA,NA,NA,8,0,0
1998,February,New York,Catering Service,"Egg Salad/Egg Salad Sandwich; Fish, White",NA,NA,NA,NA,23,NA,NA
1998,February,New York,Catering Service,NA,NA,NA,NA,NA,17,0,0
1998,February,New York,Catering Service,NA,NA,NA,NA,NA,17,1,0
1998,February,New York,Catering Service,NA,NA,NA,NA,NA,18,NA,NA
1998,February,New York,Restaurant,"Deli Meat, Multiple",NA,Yersinia enterocolitica,NA,Confirmed,9,0,0
1998,February,North Carolina,Catering Service,NA,NA,Campylobacter unknown,NA,Confirmed,9,NA,NA
1998,February,North Carolina,Restaurant,"Roast Beef, Unspecified",NA,NA,NA,NA,9,NA,0
1998,February,Ohio,Restaurant,"Taco, Beef",NA,NA,NA,NA,2,1,0
1998,February,Ohio,Restaurant,NA,NA,NA,NA,NA,3,0,0
1998,February,Ohio,Restaurant,NA,NA,NA,NA,NA,4,NA,NA
1998,February,Ohio,Catering Service,"Nuts, Unspecified",NA,NA,NA,NA,25,NA,NA
1998,February,Ohio,Private Home/Residence,"Shrimp, Unspecified",NA,NA,NA,NA,2,0,0
1998,February,Ohio,Restaurant,NA,NA,NA,NA,NA,2,0,0
1998,February,Ohio,Restaurant,NA,NA,NA,NA,NA,3,0,0
1998,February,Ohio,Restaurant,NA,NA,NA,NA,NA,4,0,0
1998,February,Ohio,Restaurant,NA,NA,NA,NA,NA,4,0,0
1998,February,Ohio,Restaurant,"Chicken, Nuggets/Fingers",NA,NA,NA,NA,3,1,0
1998,February,Ohio,Restaurant,NA,NA,NA,NA,NA,2,0,0
1998,February,Oregon,Private Home/Residence,"Oysters, Fried",Shellfish,NA,NA,NA,4,0,0
1998,February,Oregon,Nursing Home/Assisted Living Facility,NA,NA,Norovirus genogroup I,NA,Suspected,29,2,0
1998,February,Oregon,Restaurant,Caesar Salad,NA,NA,NA,NA,38,0,0
1998,February,Oregon,Restaurant,Pasta-Based Salads Unspecified,NA,NA,NA,NA,15,0,0
1998,February,Pennsylvania,Restaurant,"Seafood Soup/Stew, Unspecified; Butter; Soda, Unspecified",NA,NA,NA,NA,20,0,0
1998,February,Pennsylvania,Restaurant,"Soda, Unspecified; Butter; Seafood, Unspecified",NA,NA,NA,NA,11,0,0
1998,February,Pennsylvania,Restaurant,"Soup, Other Seafood Chowder; Butter; Soda, Other",NA,NA,NA,NA,20,0,0
1998,February,Pennsylvania,Restaurant,NA,NA,Salmonella enterica,Litchfield,Confirmed,6,2,0
1998,February,Pennsylvania,Restaurant,NA,NA,NA,NA,NA,15,0,0
1998,February,Texas,NA,NA,NA,NA,NA,NA,2,NA,NA
1998,February,Texas,Camp,NA,NA,NA,NA,NA,5,NA,NA
1998,February,Texas,Restaurant,"Soup, Chicken",NA,Staphylococcus aureus,NA,Suspected,22,NA,NA
1998,February,Texas,Restaurant,NA,NA,Hepatitis A,NA,Confirmed,94,NA,1
1998,February,Washington,Restaurant,NA,NA,NA,NA,NA,4,0,0
1998,February,Washington,Restaurant,NA,NA,NA,NA,NA,2,0,0
1998,February,Washington,Restaurant,NA,NA,NA,NA,NA,3,0,0
1998,March,Alabama,Restaurant,NA,NA,NA,NA,NA,3,2,0
1998,March,Alabama,Restaurant,NA,NA,NA,NA,NA,2,0,0
1998,March,Arkansas,Grocery Store,"Chicken, Smoked",Chicken,Streptococcus group A,NA,Confirmed,4,4,NA
1998,March,California,Restaurant,NA,NA,Salmonella enterica,Enteritidis,Confirmed,26,NA,NA
1998,March,California,NA,"Sausage, Unspecified",NA,NA,NA,NA,5,1,0
1998,March,California,Restaurant,"Chile Relleno, Unspecified; Rice, Unspecified; Beans, Unspecified",NA,Salmonella enterica,Enteritidis,Confirmed,4,0,0
1998,March,California,Private Home/Residence,NA,NA,NA,NA,NA,7,0,0
1998,March,California,Private Home/Residence,"Ice Cream, Unspecified; Eggs, Other",NA,Salmonella enterica,Enteritidis,Confirmed,6,1,0
1998,March,California,Private Home/Residence,"Chicken, Unspecified; Rice, Unspecified; Beans, Unspecified",NA,Clostridium perfringens,NA,Confirmed,48,0,0
1998,March,California,Restaurant,"Fish, Ahi",NA,Scombroid toxin,NA,Confirmed,6,0,0
1998,March,Colorado,Restaurant,NA,NA,Virus,NA,Suspected,23,NA,NA
1998,March,Florida,Hospital,"Leaf Lettuce, Unspecified",NA,Norovirus genogroup I,NA,Suspected,14,NA,NA
1998,March,Florida,Restaurant,"Salami, Unspecified",NA,NA,NA,NA,11,0,0
1998,March,Florida,Restaurant,"Taco, Beef",NA,NA,NA,NA,2,0,0
1998,March,Florida,Restaurant,"Nachos, Unspecified",NA,Staphylococcus aureus,NA,Suspected,2,0,0
1998,March,Florida,Restaurant,"Pasta, Unspecified; Chicken, Unspecified",NA,NA,NA,NA,3,0,0
1998,March,Florida,Restaurant,Multiple Foods,NA,NA,NA,NA,2,0,0
1998,March,Florida,Restaurant,"Pizza, Meat",NA,NA,NA,NA,2,2,0
1998,March,Florida,Restaurant,"Chicken, Bbq",NA,Salmonella enterica,NA,Suspected,2,0,0
1998,March,Florida,Restaurant,"Beans, Baked",NA,NA,NA,NA,3,0,0
1998,March,Florida,Restaurant,"Rice, Unspecified; Beans, Unspecified",NA,NA,NA,NA,2,NA,0
1998,March,Florida,Restaurant,"Steak, Other",NA,NA,NA,NA,2,0,0
1998,March,Florida,Restaurant,"Sandwich, Unspecified; Salad, Unspecified",NA,Norovirus genogroup I,NA,Suspected,24,0,0
1998,March,Florida,Restaurant,"Ground Beef, Cheeseburger",NA,NA,NA,NA,2,0,0
1998,March,Florida,Restaurant,"Pasta, Unspecified; Chicken, Unspecified",NA,NA,NA,NA,3,1,0
1998,March,Florida,Restaurant,"Pork, Bbq",NA,Staphylococcus aureus,NA,Suspected,2,0,0
1998,March,Florida,Restaurant,"Fish, Sole",NA,NA,NA,NA,4,0,0
1998,March,Florida,Restaurant,"Pork, Bbq",NA,NA,NA,NA,2,0,0
1998,March,Florida,Restaurant,NA,NA,NA,NA,NA,3,2,0
1998,March,Florida,Restaurant,"Oysters, Raw",NA,NA,NA,NA,2,NA,0
1998,March,Florida,NA,"Sauces, Unspecified",NA,Bacillus cereus,NA,Suspected,2,0,0
1998,March,Florida,Restaurant,NA,NA,NA,NA,NA,2,0,0
1998,March,Florida,Restaurant,"Chicken, Unspecified",NA,Salmonella enterica,Enteritidis,Suspected,4,0,0
1998,March,Florida,Restaurant,Ice,NA,Norovirus genogroup I,NA,Suspected,7,0,0
1998,March,Florida,Restaurant,"Cream, Unspecified",NA,NA,NA,NA,2,0,0
1998,March,Florida,Restaurant,"Enchilada, Chicken",NA,Salmonella enterica,NA,Suspected,3,0,0
1998,March,Florida,Restaurant,Ice,NA,Norovirus genogroup I,NA,Suspected,8,0,0
1998,March,Florida,School/College/University,"Hot Dog, Unspecified",NA,Salmonella enterica,Enteritidis,Confirmed,2,1,0
1998,March,Florida,Restaurant,"Sandwich, Chicken",NA,Staphylococcus aureus,NA,Suspected,3,0,0
1998,March,Florida,Restaurant,NA,NA,NA,NA,NA,3,0,0
1998,March,Florida,Restaurant,Coleslaw,NA,NA,NA,NA,3,0,0
1998,March,Florida,Restaurant,"Steak, Other",NA,Salmonella enterica,NA,Suspected,2,0,0
1998,March,Florida,Restaurant,"Rice, Unspecified; Chicken, Unspecified; Beans, Unspecified",NA,NA,NA,NA,2,0,0
1998,March,Florida,Private Home/Residence,"Cake, Chocolate",NA,NA,NA,NA,2,0,0
1998,March,Florida,Private Home/Residence,"Bread, Cornbread; Chicken, Unspecified; Ham, Unspecified",NA,Clostridium perfringens,NA,Suspected,18,0,0
1998,March,Florida,School/College/University,NA,NA,Norovirus genogroup I,NA,Confirmed,44,0,0
1998,March,Florida,Restaurant,NA,NA,Campylobacter unknown,NA,Confirmed,4,0,0
1998,March,Florida,Restaurant,"Cake, Unspecified; Water; Potato, Unspecified",NA,NA,NA,NA,4,0,0
1998,March,Hawaii,Private Home/Residence,Unspecified Fish,NA,Ciguatoxin,NA,Confirmed,2,0,0
1998,March,Hawaii,Restaurant,"Tart, Fruit",NA,NA,NA,NA,39,0,0
1998,March,Hawaii,Restaurant,"Fish, Swordfish",NA,Scombroid toxin,NA,Confirmed,2,0,0
1998,March,Illinois,Restaurant,NA,NA,NA,NA,NA,6,0,0
1998,March,Illinois,Restaurant,Hollandaise Sauce,NA,Salmonella enterica,Enteritidis,Confirmed,2,0,0
1998,March,Illinois,Restaurant,"Mixed Fruit; Roast Beef, Unspecified",NA,Norovirus genogroup II,Unknown,Confirmed,103,1,0
1998,March,Illinois,Restaurant,NA,NA,NA,NA,NA,3,0,0
1998,March,Illinois,Restaurant,NA,NA,NA,NA,NA,9,0,0
1998,March,Maryland,Restaurant,Shrimp Salad,NA,NA,NA,NA,11,1,NA
1998,March,Maryland,Office/Indoor Workplace,NA,NA,Hepatitis A,NA,Confirmed,5,NA,NA
1998,March,Maryland,Restaurant; Catering Service,"Milkshake; Nachos, Unspecified",NA,Norovirus genogroup I,NA,Suspected,26,0,0
1998,March,Maryland,Restaurant,NA,NA,NA,NA,NA,3,NA,NA
1998,March,Maryland,Restaurant,"Other Cheese, Unspecified; French Fries",NA,NA,NA,NA,3,0,0
1998,March,Maryland,NA,NA,NA,NA,NA,NA,3,0,0
1998,March,Maryland,Restaurant,NA,NA,NA,NA,NA,3,0,0
1998,March,Maryland,Restaurant,"Chicken, Unspecified",NA,NA,NA,NA,2,0,0
1998,March,Massachusetts,Restaurant,NA,NA,Salmonella enterica,Typhimurium,Confirmed,6,NA,NA
1998,March,Michigan,Restaurant,"Chili Sauce, Unspecified; Hot Dog, Unspecified",NA,NA,NA,NA,3,NA,NA
1998,March,Michigan,Restaurant,"French Toast, Unspecified; Beef, Jerky",NA,NA,NA,NA,2,NA,NA
1998,March,Michigan,Restaurant,"Pizza, Unspecified",NA,NA,NA,NA,5,NA,NA
1998,March,Michigan,NA,NA,NA,NA,NA,NA,11,NA,NA
1998,March,Michigan,Restaurant,"Sushi, Unspecified",NA,NA,NA,NA,2,0,0
1998,March,Michigan,Restaurant,"Rice, Unspecified; Chicken, Unspecified; Salad, Unspecified",NA,NA,NA,NA,2,1,0
1998,March,Michigan,NA,"Shrimp, Unspecified; Caesar Salad",NA,NA,NA,NA,3,NA,NA
1998,March,Michigan,Restaurant,"Sandwich, Submarine",NA,NA,NA,NA,15,0,0
1998,March,Minnesota,Restaurant,Pasta Salad,NA,Shigella sonnei,NA,Confirmed,30,1,0
1998,March,Minnesota,Restaurant,"Potato Salad; Vegetable Dip, Unspecified",NA,NA,NA,NA,7,0,0
1998,March,Minnesota,Restaurant,NA,NA,NA,NA,NA,4,0,0
1998,March,New Hampshire,Catering Service,NA,NA,NA,NA,NA,12,NA,NA
1998,March,New Mexico,Restaurant,"Milk, 1% Milk Unpasteurized; Sauces, Unspecified",NA,Staphylococcus aureus,NA,Confirmed,20,3,0
1998,March,New York,Restaurant,Multiple Foods,NA,NA,NA,NA,17,0,0
1998,March,New York,Restaurant,"Chicken, Unspecified",NA,NA,NA,NA,5,NA,NA
1998,March,New York,NA,Multiple Foods,NA,NA,NA,NA,47,NA,NA
1998,March,New York,Restaurant,"Salad, Unspecified",NA,NA,NA,NA,14,0,0
1998,March,New York,Restaurant,NA,NA,NA,NA,NA,9,0,0
1998,March,North Carolina,NA,NA,NA,Salmonella enterica,NA,Confirmed,9,NA,NA
1998,March,North Carolina,Prison/Jail,"Sandwich, Submarine",NA,Norovirus genogroup I,NA,Confirmed,75,NA,NA
1998,March,Ohio,Restaurant,"Chicken, Fried",NA,NA,NA,NA,2,0,0
1998,March,Ohio,Private Home/Residence,NA,NA,NA,NA,NA,8,1,0
1998,March,Ohio,NA,NA,NA,NA,NA,NA,3,0,0
1998,March,Ohio,NA,NA,NA,NA,NA,NA,5,0,0
1998,March,Ohio,NA,NA,NA,NA,NA,NA,49,0,0
1998,March,Ohio,NA,NA,NA,Salmonella enterica,Typhimurium,Confirmed,7,NA,NA
1998,March,Ohio,Restaurant,NA,NA,NA,NA,NA,5,0,0
1998,March,Ohio,Restaurant,NA,NA,NA,NA,NA,7,NA,0
1998,March,Ohio,Restaurant,NA,NA,NA,NA,NA,2,0,0
1998,March,Ohio,Restaurant,Onion Dip,NA,NA,NA,NA,3,0,0
1998,March,Ohio,Restaurant,Hollandaise Sauce,NA,Salmonella enterica,Montevideo,Confirmed,4,1,0
1998,March,Oregon,Restaurant,NA,NA,Norovirus genogroup I,NA,Suspected,28,1,0
1998,March,Oregon,Restaurant,"Chicken, Fried",NA,Staphylococcus aureus,NA,Confirmed,5,0,0
1998,March,Pennsylvania,NA,NA,NA,NA,NA,NA,16,0,0
1998,March,Pennsylvania,NA,NA,NA,NA,NA,NA,3,0,0
1998,March,Pennsylvania,Restaurant,"Lettuce, Unspecified",NA,NA,NA,NA,3,0,0
1998,March,Pennsylvania,Catering Service,Turkey And Stuffing,NA,Salmonella enterica,Heidelberg,Confirmed,25,1,0
1998,March,Tennessee,NA,NA,NA,NA,NA,NA,48,0,0
1998,March,Texas,NA,NA,NA,Virus,NA,Suspected,78,NA,NA
1998,March,Texas,School/College/University,"Sandwich, Unspecified",NA,Norovirus genogroup II,Unknown,Confirmed,125,60,0
1998,March,Utah,Private Home/Residence,NA,NA,Salmonella enterica,Enteritidis,Suspected,7,1,0
1998,March,Virginia,Restaurant,"Pie, Unspecified; Eggs, Other",NA,Salmonella enterica,Enteritidis,Confirmed,23,5,0
1998,March,Virginia,NA,NA,NA,Virus,NA,Suspected,28,NA,NA
